player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title
Erling Haaland,35,2803,36,32.761399537324905,8,5.8491098545491695,123,29,5,0,F S,Manchester City
Harry Kane,38,3414,30,23.06444012373686,3,7.547407771460712,133,57,6,0,F,Tottenham
Ivan Toney,33,2960,20,21.69119757413864,4,4.909892840310931,94,26,9,0,F,Brentford
Mohamed Salah,38,3307,19,23.340063713490963,12,8.720245610922575,125,65,2,0,F M S,Liverpool
Callum Wilson,31,1911,18,18.856768030673265,5,3.567963434383273,73,24,4,0,F S,Newcastle United
Marcus Rashford,35,2907,17,18.761760517954823,5,3.735412929207087,108,31,2,0,F M S,Manchester United
Martin Odegaard,37,3203,15,9.137760860845448,7,9.209956639446318,93,77,4,0,M,Arsenal
Gabriel Martinelli,36,2851,15,10.538134384900331,5,9.349485490471125,79,59,3,0,F M S,Arsenal
Ollie Watkins,37,3150,15,17.486295863986015,6,3.674034003168345,85,30,4,0,F M S,Aston Villa
Aleksandar Mitrovic,24,2022,14,16.17901684064418,1,2.334498234093189,93,15,7,0,F S,Fulham
Bukayo Saka,38,3216,14,11.300049655139446,11,7.042980744503439,89,75,6,0,F M S,Arsenal
Rodrigo,31,1955,13,8.572983920574188,1,2.298705962486565,67,16,6,0,F M S,Leeds
Harvey Barnes,34,2738,13,9.120478011667728,1,3.107304636389017,72,19,3,0,F M S,Leicester
Roberto Firmino,25,1203,11,8.122956335544586,4,3.0548400916159157,39,21,0,0,F M S,Liverpool
Gabriel Jesus,26,2107,11,16.171134389936924,6,4.243733491748571,77,31,6,0,F S,Arsenal
Phil Foden,32,1837,11,6.185852009803057,6,5.697479462251067,46,44,1,0,F M S,Manchester City
Miguel Almirón,34,2550,11,8.727059464901686,2,2.9551383573561907,69,26,2,0,F S,Newcastle United
Son Heung-Min,36,2920,10,9.597895424813032,6,6.334341483190656,81,62,2,0,F M S,Tottenham
Alexander Isak,22,1530,10,8.784851711243391,1,1.7707323329523206,51,15,3,0,F S,Newcastle United
James Maddison,30,2485,10,8.489387180656195,9,7.773198906332254,85,69,10,0,F M S,Leicester
Taiwo Awoniyi,27,1426,10,8.0510318800807,1,1.02802275121212,35,10,2,0,F S,Nottingham Forest
Alexis Mac Allister,35,2882,10,11.532242968678474,2,3.928120201453567,86,47,8,0,M S,Brighton
Eberechi Eze,38,2657,10,6.831764040514827,4,4.619440779089928,70,57,3,0,F M S,Crystal Palace
Pascal Groß,37,3261,9,5.954401790164411,8,11.246030485257506,40,80,6,0,D F M,Brighton
James Ward-Prowse,38,3378,9,5.408911099657416,4,6.058508426882327,44,72,6,0,M,Southampton
Bryan Mbeumo,38,2991,9,10.100785619579256,8,7.65799580514431,71,52,5,0,F S,Brentford
Darwin Núñez,29,1702,9,14.374805428087711,3,5.6468874625861645,84,28,1,1,F S,Liverpool
Julián Álvarez,31,1416,9,7.753276175819337,0,2.0468210969120264,47,18,0,0,F M S,Manchester City
Ilkay Gündogan,31,2369,8,7.842695340514183,4,3.444544769823551,54,37,0,0,M S,Manchester City
Danny Ings,35,1562,8,8.25754163786769,2,1.4635955430567265,42,15,4,0,F S,"Aston Villa,West Ham"
Bruno Fernandes,37,3326,8,9.385456696152689,8,17.266709440387785,92,118,6,0,M,Manchester United
Leandro Trossard,36,2263,8,7.068454213440418,12,6.358577378094196,55,47,1,0,D F M S,"Arsenal,Brighton"
Brennan Johnson,38,2952,8,8.266518421471119,3,3.7432961594313374,55,28,6,0,F M S,Nottingham Forest
Granit Xhaka,37,3039,7,5.785433189943433,7,4.802904064767063,40,46,4,0,M S,Arsenal
Kevin De Bruyne,32,2448,7,4.7582743894308805,16,16.31964398175478,65,97,1,0,M S,Manchester City
Wilfried Zaha,27,2308,7,7.797594489529729,2,2.760253319516778,66,26,5,0,F M,Crystal Palace
Kai Havertz,35,2613,7,12.77656376361847,1,3.5748752877116203,71,38,5,0,F M S,Chelsea
Yoane Wissa,38,1583,7,5.207585535943508,3,2.6399280801415443,32,13,3,0,F S,Brentford
