h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,1.7289,1.42103,1.42103,"{'att': 259, 'def': 26}","{'att': 111, 'def': 11}",5.0,7.0,2.0,1.0,1.6190000000000002,w,2022-08-07 13:00:00,1.0,0.0,0.0,3.0,0.3078700000000001,
h,1.60835,0.183952,0.183952,"{'att': 151, 'def': 24}","{'att': 158, 'def': 17}",15.0,2.0,0.0,0.0,2.5527,d,2022-08-13 14:00:00,0.0,1.0,0.0,1.0,1.424398,
a,1.82645,0.768634,0.768634,"{'att': 264, 'def': 14}","{'att': 261, 'def': 10}",2.0,6.0,2.0,0.0,2.2613,w,2022-08-21 13:00:00,1.0,0.0,0.0,3.0,0.2966459999999999,
h,1.60986,1.14874,1.14874,"{'att': 247, 'def': 20}","{'att': 165, 'def': 30}",6.0,5.0,1.0,0.0,1.7092,w,2022-08-27 14:00:00,1.0,0.0,0.0,3.0,0.46112,
a,1.75359,1.07093,1.07093,"{'att': 198, 'def': 30}","{'att': 310, 'def': 22}",4.0,7.0,1.0,2.0,1.9696,l,2022-08-30 18:30:00,0.0,0.0,1.0,0.0,-0.0785139999999999,
h,2.73166,1.06549,1.06549,"{'att': 296, 'def': 25}","{'att': 270, 'def': 6}",10.0,4.0,5.0,2.0,2.4690000000000003,w,2022-09-04 13:00:00,1.0,0.0,0.0,3.0,0.905,
a,2.36567,2.1515,2.1515,"{'att': 260, 'def': 15}","{'att': 259, 'def': 20}",7.0,13.0,3.0,3.0,1.5401,d,2022-10-01 14:00:00,0.0,1.0,0.0,1.0,0.2141700000000002,
h,0.899735,0.771641,0.771641,"{'att': 301, 'def': 21}","{'att': 340, 'def': 24}",15.0,6.0,0.0,1.0,1.4115000000000002,l,2022-10-08 16:30:00,0.0,0.0,1.0,0.0,0.1280939999999999,
a,2.15668,1.90636,1.1452,"{'att': 99, 'def': 25}","{'att': 260, 'def': 20}",14.0,8.0,0.0,2.0,1.536,l,2022-10-14 19:00:00,0.0,0.0,1.0,0.0,1.0114800000000002,
h,2.10188,0.195003,0.195003,"{'att': 132, 'def': 17}","{'att': 320, 'def': 16}",15.0,1.0,0.0,0.0,2.7455,d,2022-10-18 18:30:00,0.0,1.0,0.0,1.0,1.906877,
a,0.52863,1.86239,1.10122,"{'att': 231, 'def': 17}","{'att': 276, 'def': 23}",5.0,14.0,1.0,3.0,0.3611999999999999,l,2022-10-22 14:00:00,0.0,0.0,1.0,0.0,-0.57259,
h,2.881,1.07554,1.07554,"{'att': 295, 'def': 13}","{'att': 200, 'def': 16}",5.0,8.0,4.0,1.0,2.5709,w,2022-10-29 14:00:00,1.0,0.0,0.0,3.0,1.80546,
a,1.87375,1.29252,0.53135,"{'att': 125, 'def': 14}","{'att': 395, 'def': 18}",18.0,2.0,3.0,2.0,1.8117,w,2022-11-05 15:00:00,1.0,0.0,0.0,3.0,1.3424,
h,0.829107,1.15437,0.393198,"{'att': 159, 'def': 32}","{'att': 295, 'def': 18}",7.0,6.0,1.0,2.0,0.965,l,2022-11-13 14:00:00,0.0,0.0,1.0,0.0,0.435909,
a,1.00714,1.70709,0.857921,"{'att': 177, 'def': 16}","{'att': 445, 'def': 22}",10.0,5.0,3.0,1.0,0.7412000000000001,w,2022-12-26 15:00:00,1.0,0.0,0.0,3.0,0.1492189999999998,
h,1.15663,3.22106,3.22106,"{'att': 130, 'def': 16}","{'att': 372, 'def': 24}",9.0,8.0,2.0,4.0,0.2419,l,2022-12-31 17:30:00,0.0,0.0,1.0,0.0,-2.06443,
a,2.50731,1.16896,0.407788,"{'att': 318, 'def': 15}","{'att': 335, 'def': 15}",4.0,4.0,4.0,1.0,2.3118,w,2023-01-03 19:45:00,1.0,0.0,0.0,3.0,2.099522,
h,2.40062,1.28853,1.28853,"{'att': 260, 'def': 20}","{'att': 418, 'def': 27}",13.0,5.0,3.0,0.0,2.1797,w,2023-01-14 15:00:00,1.0,0.0,0.0,3.0,1.11209,
a,1.94491,1.35941,1.35941,"{'att': 206, 'def': 21}","{'att': 361, 'def': 11}",12.0,2.0,2.0,2.0,1.83,d,2023-01-21 15:00:00,0.0,1.0,0.0,1.0,0.5854999999999999,
h,2.55696,0.908298,0.908298,"{'att': 132, 'def': 19}","{'att': 349, 'def': 15}",15.0,2.0,1.0,0.0,2.5243,w,2023-02-04 15:00:00,1.0,0.0,0.0,3.0,1.648662,
a,2.64981,0.928279,0.928279,"{'att': 109, 'def': 30}","{'att': 454, 'def': 21}",8.0,2.0,1.0,1.0,2.5086,d,2023-02-11 15:00:00,0.0,1.0,0.0,1.0,1.721531,
h,2.71375,0.224214,0.224214,"{'att': 186, 'def': 30}","{'att': 375, 'def': 17}",10.0,0.0,0.0,1.0,2.8478000000000003,l,2023-02-18 15:00:00,0.0,0.0,1.0,0.0,2.489536,
h,3.49993,0.250045,0.250045,"{'att': 199, 'def': 19}","{'att': 426, 'def': 22}",9.0,3.0,4.0,0.0,2.9741,w,2023-03-04 15:00:00,1.0,0.0,0.0,3.0,2.488715,
a,1.51388,0.596738,0.596738,"{'att': 197, 'def': 25}","{'att': 339, 'def': 29}",10.0,9.0,2.0,2.0,2.1487000000000003,d,2023-03-11 15:00:00,0.0,1.0,0.0,1.0,0.917142,
h,0.588727,1.21452,1.21452,"{'att': 229, 'def': 27}","{'att': 336, 'def': 32}",5.0,7.0,1.0,0.0,0.7793999999999999,w,2023-03-15 19:30:00,1.0,0.0,0.0,3.0,-0.625793,
h,3.8195,1.2788,1.2788,"{'att': 101, 'def': 16}","{'att': 275, 'def': 23}",11.0,4.0,3.0,3.0,2.7147,d,2023-04-01 14:00:00,0.0,1.0,0.0,1.0,1.7795300000000005,
a,2.63392,1.15322,1.15322,"{'att': 187, 'def': 17}","{'att': 391, 'def': 34}",13.0,7.0,2.0,0.0,2.3928,w,2023-04-04 18:45:00,1.0,0.0,0.0,3.0,1.4807,
a,1.47549,0.594139,0.594139,"{'att': 179, 'def': 28}","{'att': 285, 'def': 21}",10.0,7.0,1.0,2.0,2.1066,l,2023-04-08 14:00:00,0.0,0.0,1.0,0.0,0.881351,
a,2.52107,0.46331,0.46331,"{'att': 249, 'def': 24}","{'att': 311, 'def': 20}",11.0,6.0,2.0,1.0,2.6734,w,2023-04-15 14:00:00,1.0,0.0,0.0,3.0,2.05776,
a,2.33064,2.43846,0.916127,"{'att': 113, 'def': 25}","{'att': 407, 'def': 20}",15.0,6.0,1.0,3.0,1.2946,l,2023-04-26 18:30:00,0.0,0.0,1.0,0.0,1.414513,
h,3.60471,0.603985,0.603985,"{'att': 214, 'def': 30}","{'att': 321, 'def': 21}",12.0,3.0,6.0,0.0,2.8604000000000003,w,2023-04-29 14:00:00,1.0,0.0,0.0,3.0,3.000725,
h,2.09953,1.32105,1.32105,"{'att': 186, 'def': 28}","{'att': 359, 'def': 21}",6.0,9.0,1.0,0.0,1.9441,w,2023-05-04 19:00:00,1.0,0.0,0.0,3.0,0.0173099999999999,
h,3.23717,2.94223,2.94223,"{'att': 104, 'def': 34}","{'att': 341, 'def': 20}",16.0,10.0,1.0,5.0,1.5493,l,2023-05-08 16:30:00,0.0,0.0,1.0,0.0,0.29494,
a,2.21276,0.958651,0.958651,"{'att': 191, 'def': 20}","{'att': 346, 'def': 33}",2.0,8.0,3.0,0.0,2.2904,w,2023-05-14 15:30:00,1.0,0.0,0.0,3.0,1.2541089999999997,
a,0.593493,4.11359,4.11359,"{'att': 119, 'def': 17}","{'att': 343, 'def': 37}",2.0,15.0,1.0,4.0,0.0424,l,2023-05-18 18:30:00,0.0,0.0,1.0,0.0,-3.5200970000000003,
h,2.41418,0.863659,0.863659,"{'att': 228, 'def': 21}","{'att': 344, 'def': 18}",22.0,2.0,3.0,1.0,2.3956999999999997,w,2023-05-21 13:00:00,1.0,0.0,0.0,3.0,1.550521,
h,2.11486,1.92973,1.92973,"{'att': 392, 'def': 33}","{'att': 196, 'def': 15}",6.0,9.0,1.0,1.0,1.4881,d,2023-05-24 19:00:00,0.0,1.0,0.0,1.0,0.1851300000000002,
a,1.23117,2.55845,2.55845,"{'att': 130, 'def': 22}","{'att': 258, 'def': 31}",3.0,9.0,1.0,2.0,0.4947,l,2023-05-28 15:30:00,0.0,0.0,1.0,0.0,-1.32728,
,77.72342200000001,,,,,,,,,,,,,,,,,
,77.72342200000001,,,,,,,,,,,,,,,,,0.0
