h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,1.10119,0.88917,0.88917,"{'att': 181, 'def': 17}","{'att': 325, 'def': 35}",9.0,5.0,1.0,2.0,1.5274,l,2022-08-06 14:00:00,0.0,0.0,1.0,0.0,0.2120199999999998,
h,0.975375,1.08813,0.326966,"{'att': 176, 'def': 15}","{'att': 309, 'def': 21}",1.0,2.0,0.0,0.0,1.1558,d,2022-08-13 14:00:00,0.0,1.0,0.0,1.0,0.648409,
a,0.686123,1.46608,1.46608,"{'att': 289, 'def': 14}","{'att': 232, 'def': 20}",6.0,8.0,0.0,1.0,0.708,l,2022-08-20 11:30:00,0.0,0.0,1.0,0.0,-0.779957,
h,1.13248,1.93362,1.93362,"{'att': 246, 'def': 13}","{'att': 123, 'def': 13}",3.0,13.0,1.0,1.0,0.8057000000000001,d,2022-08-28 13:00:00,0.0,1.0,0.0,1.0,-0.80114,
a,1.53246,0.362035,0.362035,"{'att': 164, 'def': 24}","{'att': 317, 'def': 18}",14.0,7.0,0.0,0.0,2.3577000000000004,d,2022-08-31 18:30:00,0.0,1.0,0.0,1.0,1.1704249999999998,
h,1.10039,1.20838,1.20838,"{'att': 178, 'def': 19}","{'att': 218, 'def': 29}",8.0,12.0,1.0,0.0,1.2716,w,2022-09-03 14:00:00,1.0,0.0,0.0,3.0,-0.10799,
h,0.310995,1.4242,1.4242,"{'att': 419, 'def': 23}","{'att': 301, 'def': 21}",4.0,8.0,0.0,3.0,0.4089,l,2022-09-17 11:30:00,0.0,0.0,1.0,0.0,-1.1132049999999998,
a,0.575988,1.03934,1.03934,"{'att': 202, 'def': 10}","{'att': 278, 'def': 13}",10.0,4.0,0.0,2.0,0.9389,l,2022-10-01 16:30:00,0.0,0.0,1.0,0.0,-0.4633519999999999,
a,0.748449,2.43092,2.43092,"{'att': 313, 'def': 8}","{'att': 271, 'def': 24}",4.0,11.0,0.0,3.0,0.3646999999999999,l,2022-10-08 14:00:00,0.0,0.0,1.0,0.0,-1.682471,
h,1.22368,1.24761,0.486443,"{'att': 168, 'def': 16}","{'att': 240, 'def': 25}",5.0,3.0,1.0,0.0,1.2896999999999998,w,2022-10-15 14:00:00,1.0,0.0,0.0,3.0,-0.023931,
a,0.857837,1.25617,1.25617,"{'att': 251, 'def': 30}","{'att': 255, 'def': 33}",8.0,8.0,1.0,2.0,1.0139,l,2022-10-18 19:15:00,0.0,0.0,1.0,0.0,-0.398333,
h,1.61785,0.989075,0.989075,"{'att': 173, 'def': 7}","{'att': 332, 'def': 17}",11.0,5.0,0.0,4.0,1.8126,l,2022-10-23 13:00:00,0.0,0.0,1.0,0.0,0.628775,
a,0.557605,1.29257,1.29257,"{'att': 229, 'def': 18}","{'att': 146, 'def': 25}",2.0,6.0,1.0,1.0,0.6939,d,2022-10-29 14:00:00,0.0,1.0,0.0,1.0,-0.734965,
