h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,0.235825,1.8591,1.8591,"{'att': 200, 'def': 15}","{'att': 152, 'def': 25}",2.0,24.0,0.0,2.0,0.2541,l,2022-08-06 14:00:00,0.0,0.0,1.0,0.0,-1.623275,
h,1.9717,2.08634,1.32517,"{'att': 173, 'def': 16}","{'att': 123, 'def': 15}",4.0,7.0,1.0,0.0,1.2978,w,2022-08-14 13:00:00,1.0,0.0,0.0,3.0,0.64653,
a,0.918315,1.43408,1.43408,"{'att': 221, 'def': 14}","{'att': 242, 'def': 13}",1.0,8.0,1.0,1.0,0.9539,d,2022-08-20 14:00:00,0.0,1.0,0.0,1.0,-0.515765,
h,0.801369,2.44473,1.68356,"{'att': 282, 'def': 29}","{'att': 272, 'def': 18}",11.0,6.0,0.0,2.0,0.3642,l,2022-08-28 15:30:00,0.0,0.0,1.0,0.0,-0.882191,
a,0.729752,3.83759,3.83759,"{'att': 464, 'def': 10}","{'att': 147, 'def': 23}",1.0,13.0,0.0,6.0,0.0807,l,2022-08-31 18:30:00,0.0,0.0,1.0,0.0,-3.107838,
h,1.32895,0.905041,0.905041,"{'att': 232, 'def': 17}","{'att': 251, 'def': 16}",6.0,10.0,2.0,3.0,1.7698,l,2022-09-03 14:00:00,0.0,0.0,1.0,0.0,-0.3372619999999999,
h,1.41541,1.3496,1.3496,"{'att': 306, 'def': 19}","{'att': 218, 'def': 18}",2.0,2.0,2.0,3.0,1.4134000000000002,l,2022-09-16 19:00:00,0.0,0.0,1.0,0.0,0.0658100000000001,
a,1.22169,1.2497,1.2497,"{'att': 280, 'def': 13}","{'att': 291, 'def': 29}",4.0,7.0,0.0,4.0,1.345,l,2022-10-03 19:00:00,0.0,0.0,1.0,0.0,-0.02801,
h,0.221346,0.657187,0.657187,"{'att': 278, 'def': 11}","{'att': 157, 'def': 22}",0.0,9.0,1.0,1.0,0.7877000000000001,d,2022-10-10 19:00:00,0.0,1.0,0.0,1.0,-0.435841,
a,1.24761,1.22368,0.462512,"{'att': 240, 'def': 25}","{'att': 168, 'def': 16}",3.0,5.0,0.0,1.0,1.3323,l,2022-10-15 14:00:00,0.0,0.0,1.0,0.0,0.023931,
