name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Shola Shoretire,Man Utd,Newcastle United,2023-12-02,False,0,0.62,0,0.0,0,0,26920,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Chelsea,,-0.25
Shola Shoretire,Man Utd,Chelsea,2023-12-06,True,0,0.83,0,0.0,0,0,27244,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Bournemouth,,1.22
Shola Shoretire,Man Utd,Bournemouth,2023-12-09,True,0,0.84,0,0.0,0,0,27080,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Liverpool,,-1.01
Shola Shoretire,Man Utd,Liverpool,,False,0,,0,0.0,0,0,26438,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,West Ham,,-0.22
Shola Shoretire,Man Utd,West Ham,,False,0,,0,0.0,0,0,26195,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Aston Villa,,0.64
Shola Shoretire,Man Utd,Aston Villa,2023-12-26,True,0,3.62,0,0.0,0,0,25899,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Nottingham Forest,,-0.55
Shola Shoretire,Man Utd,Nottingham Forest,2023-12-30,False,0,0.26,0,0.0,0,0,25150,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Tottenham,,0.69
Shola Shoretire,Man Utd,Tottenham,,True,0,,0,0.0,0,0,23526,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Wolverhampton,,-0.52
Shola Shoretire,Man Utd,Wolverhampton,,False,0,,0,0.0,0,0,23078,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,West Ham,,0.49
Shola Shoretire,Man Utd,West Ham,,True,0,,0,0.0,0,0,22886,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Aston Villa,,0.29
Shola Shoretire,Man Utd,Aston Villa,,False,0,,0,0.0,0,0,22646,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Luton,,
Shola Shoretire,Man Utd,Luton,2024-02-18,False,0,0.59,0,0.0,0,0,23104,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Fulham,,-0.13
Shola Shoretire,Man Utd,Fulham,,True,0,,0,0.0,0,0,23031,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Manchester City,,-1.32
Shola Shoretire,Man Utd,Manchester City,,False,0,,0,0.0,0,0,23093,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Everton,,0.53
Shola Shoretire,Man Utd,Everton,2024-03-09,True,0,1.92,0,0.0,0,0,22859,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Brentford,,-0.53
Shola Shoretire,Man Utd,Brentford,2024-03-30,False,0,1.79,0,0.0,0,0,22894,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Chelsea,,-0.85
Shola Shoretire,Man Utd,Chelsea,2024-04-04,False,0,0.72,0,0.0,0,0,23020,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Liverpool,,0.18
Shola Shoretire,Man Utd,Liverpool,2024-04-07,True,0,1.74,0,0.0,0,0,22988,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Bournemouth,,0.19
Shola Shoretire,Man Utd,Bournemouth,2024-04-13,False,0,0.83,0,0.0,0,0,23013,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Sheffield,,0.68
Shola Shoretire,Man Utd,Sheffield,2024-04-24,True,0,1.21,0,0.0,0,0,22889,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Burnley,,0.39
Shola Shoretire,Man Utd,Burnley,2024-04-27,True,0,1.82,0,0.0,0,0,22730,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Crystal Palace,,0.38
Shola Shoretire,Man Utd,Crystal Palace,,False,0,,0,0.0,0,0,22656,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Arsenal,,-0.11
Shola Shoretire,Man Utd,Arsenal,,True,0,,0,0.0,0,0,22741,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,True,Newcastle United,,0.55
Shola Shoretire,Man Utd,Newcastle United,,True,0,,0,0.0,0,0,22741,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0,Man Utd,False,Brighton,,-0.6
Shola Shoretire,Man Utd,Brighton,2024-05-19,False,0,0.7,0,0.0,0,0,22883,0.0,0,0.0,0.0,0.0,0.14,0.0,0,,Fulham,False,Manchester United,,-0.63
