name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points
Matthew Whittingham,Wolves,Arsenal,2023-12-02,False,0,0.67,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Burnley,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Nottingham Forest,2023-12-09,True,0,1.22,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,West Ham,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Chelsea,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Brentford,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Everton,2023-12-30,True,0,0.74,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Brighton,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Manchester United,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Chelsea,2024-02-04,False,0,0.46,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Brentford,2024-02-10,True,0,0.97,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Tottenham,2024-02-17,False,0,2.67,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Sheffield,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Newcastle United,2024-03-02,False,0,0.97,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Fulham,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Aston Villa,2024-03-30,False,0,0.78,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Burnley,2024-04-02,False,0,1.95,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,West Ham,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Nottingham Forest,2024-04-13,False,0,1.76,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Arsenal,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Bournemouth,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Luton,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Manchester City,2024-05-04,False,0,1.94,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Crystal Palace,2024-05-11,True,0,2.45,0,0.0,0,0,0.0,0,0.0,0.0
Matthew Whittingham,Wolves,Liverpool,2024-05-19,False,0,1.58,0,0.0,0,0,0.0,0,0.0,
