name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Yago de Santiago Alonso,Spurs,Manchester City,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,West Ham,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Newcastle United,2023-12-10,True,0,0.69,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Nottingham Forest,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Everton,2023-12-23,True,0,1.82,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Brighton,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Bournemouth,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Manchester United,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Brentford,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Everton,2024-02-03,False,0,2.67,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Brighton,2024-02-10,True,0,1.76,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Wolverhampton,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Crystal Palace,2024-03-02,True,0,2.43,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Aston Villa,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Fulham,2024-03-16,False,0,0.85,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Luton,2024-03-30,True,0,0.4,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,West Ham,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Nottingham Forest,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Newcastle United,2024-04-13,False,0,0.81,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Arsenal,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Chelsea,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Liverpool,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Burnley,2024-05-11,True,0,0.64,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Manchester City,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0
Yago de Santiago Alonso,Spurs,Sheffield,2024-05-19,False,0,2.07,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,
