name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Lukasz Fabianski,West Ham,Bournemouth,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,True,Chelsea,,-0.25
Lukasz Fabianski,West Ham,Chelsea,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,False,Brighton,,-0.6
Lukasz Fabianski,West Ham,Brighton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,False,Luton,,
Lukasz Fabianski,West Ham,Luton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,True,Manchester City,,-0.96
Lukasz Fabianski,West Ham,Manchester City,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,False,Liverpool,,-1.01
Lukasz Fabianski,West Ham,Liverpool,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,True,Sheffield,,0.68
Lukasz Fabianski,West Ham,Sheffield,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,True,Newcastle United,,0.55
Lukasz Fabianski,West Ham,Newcastle United,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,False,Aston Villa,,0.29
Lukasz Fabianski,West Ham,Aston Villa,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,True,Everton,,0.53
Lukasz Fabianski,West Ham,Everton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,False,Brentford,,-0.53
Lukasz Fabianski,West Ham,Brentford,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,True,Nottingham Forest,,1.55
Lukasz Fabianski,West Ham,Nottingham Forest,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,False,Burnley,,0.0
Lukasz Fabianski,West Ham,Burnley,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,West Ham,True,Crystal Palace,,0.88
Lukasz Fabianski,West Ham,Crystal Palace,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,3.0,West Ham,False,Tottenham,,-0.36
Lukasz Fabianski,West Ham,Tottenham,2023-12-07,False,90,1,1.74,5,0,3,0,0,0.0,1,0.6,0,6.0,0.0,5.0,1.0,West Ham,False,Fulham,,0.86
Lukasz Fabianski,West Ham,Fulham,2023-12-10,False,90,5,2.34,3,0,1,0,0,0.0,1,0.8,0,11.25,0.0,4.0,8.0,West Ham,True,Wolverhampton,,0.05
Lukasz Fabianski,West Ham,Wolverhampton,2023-12-17,True,90,0,0.65,3,0,8,1,1,0.0,1,2.4,0,15.88,0.33,3.67,0.0,West Ham,True,Manchester United,,0.38
Lukasz Fabianski,West Ham,Manchester United,,True,0,0,0.0,0,0,0,0,0,,0,2.4,0,15.0,0.33,3.67,0.0,West Ham,False,Arsenal,,-0.48
Lukasz Fabianski,West Ham,Arsenal,,False,0,0,0.0,0,0,0,0,0,,0,2.4,0,14.21,0.33,3.67,0.0,West Ham,True,Brighton,,-0.66
Lukasz Fabianski,West Ham,Brighton,,True,0,0,0.0,0,0,0,0,0,,0,1.8,0,13.5,0.33,3.67,1.0,West Ham,False,Sheffield,,-0.61
Lukasz Fabianski,West Ham,Sheffield,2024-01-21,False,1,1,0.79,0,0,1,0,0,0.0,0,1.8,0,12.9,0.25,2.75,0.0,West Ham,True,Bournemouth,,1.22
Lukasz Fabianski,West Ham,Bournemouth,,True,0,0,0.0,0,0,0,0,0,,0,0.2,0,12.32,0.25,2.75,0.0,West Ham,False,Manchester United,,-0.63
