name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus
Dan Gosling,Watford,Aston Villa,2021-08-14,True,21,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0
Dan Gosling,Watford,Brighton,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Tottenham,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Wolverhampton,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Norwich,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Newcastle United,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Leicester City,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Liverpool,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Everton,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Southampton,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Arsenal,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Manchester United,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Leeds United,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Chelsea,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Manchester City,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Brentford,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,West Ham,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Tottenham,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Newcastle United,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Norwich,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Burnley,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,West Ham,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Brighton,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Aston Villa,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Crystal Palace,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Manchester United,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Arsenal,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Wolverhampton,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Southampton,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Liverpool,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Leicester City,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Brentford,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Manchester City,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Burnley,,True,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Crystal Palace,,False,0,,,,,0,,,0.0,0
Dan Gosling,Watford,Everton,2022-05-11,True,90,0.0,0.0148469405248761,0.0,0.0,3,1.0,0.0,1.2,0
Dan Gosling,Watford,Leeds United,2022-05-15,True,45,0.0,0.0,0.0,0.0480008423328399,1,0.0,1.0,2.2,0
Dan Gosling,Watford,Chelsea,2022-05-22,False,8,1.0,0.1811896860599517,0.0,0.0,6,1.0,0.0,0.0,0
