name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus
Mattéo Guendouzi,Arsenal,Brentford,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Chelsea,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Manchester City,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Norwich,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Burnley,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Tottenham,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Brighton,2021-10-02,False,0,0.0,0.0357109904289245,0.0,0.1438962817192077,0,1.0,1.0,0.0,0
Mattéo Guendouzi,Arsenal,Crystal Palace,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Aston Villa,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Leeds United,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Watford,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Liverpool,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Newcastle United,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Manchester United,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Everton,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Southampton,2021-12-11,True,0,0.0,0.0,0.0,0.0813292115926742,0,0.0,1.0,0.0,0
Mattéo Guendouzi,Arsenal,West Ham,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Leicester City,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Norwich,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Manchester City,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Burnley,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Wolverhampton,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Brentford,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Wolverhampton,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Watford,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Leeds United,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Liverpool,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Aston Villa,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Crystal Palace,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Brighton,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Southampton,2022-04-16,False,0,0.0,0.0,0.0,0.0922453925013542,0,0.0,1.0,0.0,0
Mattéo Guendouzi,Arsenal,Chelsea,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Manchester United,2022-04-23,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Mattéo Guendouzi,Arsenal,West Ham,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Leicester City,,True,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Tottenham,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Newcastle United,,False,0,,,,,0,,,0.0,0
Mattéo Guendouzi,Arsenal,Everton,2022-05-22,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
