name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus
Ayotomiwa Dele-Bashiru,Watford,Aston Villa,2021-08-14,True,0,1.32714,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Brighton,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Tottenham,2021-08-29,False,0,1.79575,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Wolverhampton,2021-09-11,True,0,2.55922,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Norwich,2021-09-18,False,0,1.02316,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Newcastle United,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Leicester City,2021-10-02,False,0,1.15849,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Liverpool,2021-10-16,True,0,2.19633,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Everton,2021-10-23,False,0,0.858644,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Southampton,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Arsenal,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Manchester United,2021-11-20,True,0,1.31903,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Leeds United,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Chelsea,2021-12-01,True,0,0.711691,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Manchester City,2021-12-04,True,0,0.095167,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Brentford,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,West Ham,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Tottenham,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Newcastle United,2022-01-15,False,0,2.29917,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Norwich,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Burnley,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,West Ham,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Brighton,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Aston Villa,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Crystal Palace,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Manchester United,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Arsenal,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Wolverhampton,2022-03-10,False,0,1.55037,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Southampton,2022-03-13,False,0,0.712135,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Liverpool,2022-04-02,False,0,1.62151,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Leicester City,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Brentford,,True,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Manchester City,,False,0,,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Burnley,2022-04-30,True,0,0.525912,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Crystal Palace,2022-05-07,False,0,1.6842,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Everton,2022-05-11,True,0,0.411857,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Leeds United,2022-05-15,True,0,0.999066,0,0.0,0
Ayotomiwa Dele-Bashiru,Watford,Chelsea,2022-05-22,False,0,1.11708,0,0.0,0
