name,team,form,selected,price,week1,week2,week3,position
Łukasz Fabiański,West Ham,2.8,1918554.0,4.0,2.84,2.89,2.81,GK
Aaron Cresswell,West Ham,0.2,172741.0,4.0,0.0,0.0,0.0,DEF
Aaron Hickey,Brentford,0.0,1429.0,4.3,0.0,0.0,0.0,DEF
Aaron Wan-Bissaka,West Ham,2.2,173893.0,4.4,2.76,2.76,2.78,DEF
Adam Smith,Bournemouth,1.2,21087.0,4.5,2.9,2.87,2.9,DEF
Adam Webster,Brighton,0.2,7337.0,4.3,0.0,0.0,0.0,DEF
Alex Murphy,Newcastle,0.0,95829.0,4.0,0.0,0.0,0.0,DEF
Alfie Gilchrist,Chelsea,0.0,4252.0,4.0,0.0,0.0,0.0,DEF
Alfie Pond,Wolves,0.0,13309.0,3.9,0.0,0.0,0.0,DEF
Andrew Omobamidele,Nott'm Forest,0.0,5679.0,4.3,0.0,0.0,0.0,DEF
Andrew Robertson,Liverpool,2.4,523538.0,5.9,2.96,3.55,3.73,DEF
Antonee Robinson,Fulham,3.2,1692072.0,4.7,3.34,3.24,3.14,DEF
Armel Bella-Kotchap,Southampton,0.0,50257.0,3.9,0.0,0.0,0.0,DEF
Ashley Phillips,Spurs,0.0,23091.0,4.0,0.0,0.0,0.0,DEF
Ashley Young,Everton,5.0,127999.0,4.5,3.49,3.34,3.42,DEF
Axel Disasi,Chelsea,0.0,31156.0,4.3,0.0,2.79,2.82,DEF
Axel Tuanzebe,Ipswich,0.2,250289.0,4.0,2.61,2.36,2.59,DEF
Bastien Meupiyou,Wolves,0.0,17212.0,4.0,0.0,0.0,0.0,DEF
Ben Chilwell,Chelsea,0.0,54787.0,4.7,0.0,0.0,0.0,DEF
Ben Davies,Spurs,0.2,19566.0,4.3,0.0,0.0,0.0,DEF
Ben Johnson,Ipswich,0.6,231296.0,4.0,2.15,2.03,2.13,DEF
Ben Mee,Brentford,0.0,47272.0,4.2,0.0,0.0,0.0,DEF
Ben Nelson,Leicester,0.0,2382.0,4.0,0.0,0.0,0.0,DEF
Benjamin White,Arsenal,1.2,425618.0,6.2,0.0,0.0,0.0,DEF
Benoît Badiashile,Chelsea,0.2,11862.0,4.3,0.0,0.0,0.0,DEF
Caleb Kporha,Crystal Palace,0.2,1474.0,4.0,0.0,0.0,0.0,DEF
Caleb Okoli,Leicester,1.8,138421.0,4.0,2.29,2.3,2.35,DEF
Caleb Wiley,Chelsea,0.0,2466.0,4.0,0.0,0.0,0.0,DEF
Calvin Bassey,Fulham,2.0,46342.0,4.5,3.04,3.02,3.1,DEF
Cameron Burgess,Ipswich,1.0,162929.0,3.9,2.62,2.43,2.67,DEF
Chadi Riad Dnanou,Crystal Palace,0.0,5557.0,4.3,0.0,0.0,0.0,DEF
Charlie Taylor,Southampton,0.4,480866.0,3.9,0.0,0.0,0.0,DEF
Chris Mepham,Bournemouth,0.0,3383.0,4.4,0.0,0.0,0.0,DEF
Chris Richards,Crystal Palace,0.0,10902.0,4.4,0.0,0.0,0.0,DEF
Conor Bradley,Liverpool,1.4,28243.0,4.7,0.0,0.0,0.0,DEF
Conor Coady,Leicester,0.0,32448.0,4.0,0.0,0.0,0.0,DEF
Conor Townsend,Ipswich,0.2,43811.0,4.0,0.0,0.0,0.0,DEF
Corrie Ndaba,Ipswich,0.0,497.0,4.0,0.0,0.0,0.0,DEF
Craig Dawson,Wolves,1.0,18819.0,4.4,2.27,2.42,2.4,DEF
Cristian Romero,Spurs,2.6,1101289.0,5.0,1.69,1.7,1.62,DEF
Dan Burn,Newcastle,3.4,956149.0,4.4,3.06,3.05,3.01,DEF
Daniel Muñoz,Crystal Palace,2.2,184697.0,4.8,3.1,3.44,3.17,DEF
Dara O'Shea,Ipswich,1.0,88151.0,4.0,2.51,2.34,2.59,DEF
Dean Huijsen,Bournemouth,0.4,9279.0,4.3,2.11,2.08,2.39,DEF
Destiny Udogie,Spurs,2.0,303445.0,4.9,3.23,3.05,3.07,DEF
Diego Carlos Santos Silva,Aston Villa,1.8,48644.0,4.5,2.65,0.0,0.0,DEF
Diogo Dalot Teixeira,Man Utd,3.4,1094619.0,5.2,2.83,3.05,2.96,DEF
Djed Spence,Spurs,0.0,8437.0,4.4,0.0,0.0,0.0,DEF
Elkan Baggott,Ipswich,0.0,1988.0,4.0,0.0,0.0,0.0,DEF
Emerson Leite de Souza Junior,Spurs,0.0,1047.0,4.5,0.0,0.0,0.0,DEF
Emerson Palmieri dos Santos,West Ham,2.0,59148.0,4.4,3.27,3.28,3.28,DEF
Emil Krafth,Newcastle,0.0,14031.0,4.4,0.0,0.0,0.0,DEF
Ethan Pinnock,Brentford,3.4,139077.0,4.5,2.98,3.11,3.12,DEF
Ezri Konsa Ngoyo,Aston Villa,0.8,1078896.0,4.4,1.63,1.44,1.55,DEF
Fabian Schär,Newcastle,2.8,141917.0,5.4,2.87,2.74,2.78,DEF
Felipe Rodrigues da Silva,Nott'm Forest,0.6,2631.0,4.5,0.0,0.0,0.0,DEF
Ferdi Kadioglu,Brighton,3.6,52006.0,4.5,0.71,0.74,0.75,DEF
Gabriel dos Santos Magalhães,Arsenal,1.6,2339528.0,6.1,3.28,3.21,3.1,DEF
George Edmundson,Ipswich,0.0,8687.0,4.0,0.0,0.0,0.0,DEF
Harry Amass,Man Utd,0.0,557.0,4.0,0.0,0.0,0.0,DEF
Harry Clarke,Ipswich,-0.8,4191.0,4.0,0.0,2.19,0.0,DEF
Harry Maguire,Man Utd,0.0,51553.0,4.9,0.0,0.0,0.0,DEF
Harry Souttar,Leicester,0.0,1078.0,4.0,0.0,0.0,0.0,DEF
Harry Toffolo,Nott'm Forest,0.0,6140.0,4.3,0.0,0.0,0.0,DEF
Hugo Bueno López,Wolves,0.0,854.0,4.5,0.0,0.0,0.0,DEF
Ian Maatsen,Aston Villa,0.6,175981.0,4.7,2.1,1.98,2.27,DEF
Ibrahima Konaté,Liverpool,3.0,1474174.0,5.4,2.69,3.01,3.15,DEF
Igor Julio dos Santos de Paulo,Brighton,1.6,10562.0,4.4,2.71,2.72,2.78,DEF
Illia Zabarnyi,Bournemouth,2.4,38396.0,4.4,2.75,2.74,2.88,DEF
Imari Samuels,Brighton,0.0,3190.0,4.0,0.0,0.0,0.0,DEF
Issa Diop,Fulham,0.0,24942.0,4.4,1.75,1.74,0.0,DEF
Issa Kaboré,Man City,0.0,596.0,4.5,0.0,0.0,0.0,DEF
Jack Stephens,Southampton,1.6,71674.0,4.0,2.88,2.91,2.83,DEF
Jacob Greaves,Ipswich,0.0,442745.0,4.0,0.0,0.0,0.0,DEF
Jahmai Simpson-Pusey,Man City,0.0,574.0,4.0,2.02,2.03,2.33,DEF
Jake O'Brien,Everton,0.0,17102.0,4.6,0.0,0.0,0.0,DEF
Jakub Kiwior,Arsenal,0.4,16531.0,4.8,0.0,0.0,0.0,DEF
Jamaal Lascelles,Newcastle,0.0,487.0,4.5,0.0,0.0,0.0,DEF
Jamal Lewis,Newcastle,0.0,21699.0,4.0,0.0,0.0,0.0,DEF
James Bree,Southampton,0.2,24759.0,3.9,0.0,0.0,0.0,DEF
James Hill,Bournemouth,0.0,37174.0,4.0,0.0,0.0,0.0,DEF
James Justin,Leicester,2.6,427778.0,4.6,2.81,2.81,2.67,DEF
James Tarkowski,Everton,4.8,158149.0,4.8,3.64,3.6,3.61,DEF
Jan Bednarek,Southampton,1.8,371118.0,4.0,0.0,0.0,0.0,DEF
Jan Paul van Hecke,Brighton,0.8,55356.0,4.5,2.8,2.85,2.87,DEF
Jannik Vestergaard,Leicester,0.6,205496.0,4.0,2.02,1.84,1.86,DEF
Jarell Quansah,Liverpool,0.0,101315.0,3.9,0.0,0.0,0.0,DEF
Jarrad Branthwaite,Everton,1.6,84066.0,4.8,2.86,2.77,2.76,DEF
Jayden Meghoma,Brentford,0.0,4100.0,4.0,0.0,0.0,0.0,DEF
Jean-Clair Todibo,West Ham,2.0,32500.0,4.3,2.72,2.69,2.65,DEF
Joachim Andersen,Fulham,1.6,731914.0,4.3,2.28,2.26,2.25,DEF
Joe Gomez,Liverpool,0.4,46342.0,4.8,0.0,2.66,2.72,DEF
Joe Worrall,Nott'm Forest,0.0,2620.0,4.5,0.0,0.0,0.0,DEF
Joel Ward,Crystal Palace,0.0,10205.0,4.3,0.0,0.0,0.0,DEF
John Stones,Man City,2.2,209230.0,5.3,0.0,0.0,0.0,DEF
Jonathan Panzo,Nott'm Forest,0.0,106.0,4.0,0.0,0.0,0.0,DEF
Jonny Evans,Man Utd,2.2,12526.0,4.4,0.0,0.0,0.0,DEF
Jorge Cuenca Barreno,Fulham,0.2,4363.0,4.4,0.0,0.0,0.0,DEF
Josh Nichols,Arsenal,0.0,2938.0,4.0,0.0,0.0,0.0,DEF
Josh Wilson-Esbrand,Man City,0.0,0.0,4.0,0.0,0.0,0.0,DEF
João Cavaco Cancelo,Man City,0.0,24544.0,5.3,0.0,0.0,0.0,DEF
Joël Veltman,Brighton,2.4,343259.0,4.5,2.88,2.87,2.82,DEF
Joško Gvardiol,Man City,5.6,3411634.0,6.3,3.06,3.18,3.1,DEF
Juan Larios López,Southampton,0.0,8274.0,4.0,0.0,0.0,0.0,DEF
Julián Araujo Zúñiga,Bournemouth,0.4,20623.0,4.4,0.0,0.0,0.0,DEF
Jurriën Timber,Arsenal,1.0,139504.0,5.5,2.74,2.47,2.67,DEF
Kaelan Casey,West Ham,0.0,21385.0,4.0,0.0,0.0,0.0,DEF
Kaine Kesler-Hayden,Aston Villa,0.0,1122.0,4.0,0.0,0.0,0.0,DEF
Kenny Tete,Fulham,2.4,41844.0,4.5,3.03,2.85,2.86,DEF
Kevin Mbabu,Fulham,0.0,21820.0,4.0,0.0,0.0,0.0,DEF
Ki-Jana Hoever,Wolves,0.0,17448.0,4.0,0.0,0.0,0.0,DEF
Kieran Tierney,Arsenal,0.0,2368.0,4.3,0.0,0.0,0.0,DEF
