Opponent,Home Difficulty,Away Difficulty
Arsenal,4.062749293296973,
Aston Villa,-2.2117958880780835,
Brentford,0.49111986182550904,0.8159898561658379
Brighton,,1.1277727210362585
Burnley,-0.9281481668162302,
Chelsea,-1.0925639115096186,2.8164187288553286
Crystal Palace,3.2553232050453307,-2.9770662128257612
Everton,-5.044543197669498,4.9144349096256015
Fulham,-5.036246493654572,-1.429495976136865
Leeds United,-2.1720859007392868,
Leicester City,,-1.3851125263707174
Liverpool,,4.890363115562718
Luton,,
Manchester City,,2.9579556651210877
Manchester United,,-1.424332915634635
Newcastle United,-2.4772524454928786,-1.4512323995168226
Norwich,,
Nottingham Forest,,-0.8654626992323583
Sheffield,,-5.077545015750304
Southampton,2.9065560617467723,
Tottenham,1.6002946657725714,2.794008638063338
Watford,,
West Ham,0.38454004192657976,2.6739234287386067
Wolverhampton,0.6409558454334554,
