name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,starts,total_points,was_home
Danny Ward,GK,Leicester,0,0,0.0,4,2022-08-13,90,Arsenal,0,0,4,2358777,0,1,False
Danny Ward,GK,Leicester,0,0,0.0,0,2023-03-18,0,Brentford,0,0,0,2778147,0,0,False
Danny Ward,GK,Leicester,3,1,0.0,0,2022-10-20,90,Leicester City,0,0,2,2723920,0,9,True
Danny Ward,GK,Leicester,0,0,0.0,2,2022-08-20,90,Southampton,0,0,1,2576533,0,1,True
Danny Ward,GK,Leicester,0,1,0.0,0,2022-10-15,90,Crystal Palace,0,0,1,2764649,0,6,True
Danny Ward,GK,Leicester,0,0,0.0,2,2022-10-08,90,Bournemouth,0,0,2,2762134,0,1,False
Danny Ward,GK,Leicester,0,0,0.0,2,2022-08-07,90,Brentford,0,0,1,1983925,0,1,True
Danny Ward,GK,Leicester,0,0,1.902,3,2022-12-26,90,Newcastle United,0,0,2,3491200,1,1,True
Danny Ward,GK,Leicester,1,0,2.1245,2,2022-12-30,90,Liverpool,0,0,5,3466571,1,3,False
Danny Ward,GK,Leicester,0,1,0.0,0,2022-11-05,90,Everton,0,0,2,2849225,0,6,False
Danny Ward,GK,Leicester,0,0,0.0,1,2022-10-29,90,Manchester City,0,0,4,2810827,0,3,True
Danny Ward,GK,Leicester,0,0,0.64,1,2023-02-25,90,Arsenal,0,0,1,3030474,1,2,True
Danny Ward,GK,Leicester,0,0,1.5259,2,2023-01-21,90,Brighton,0,0,2,3354494,1,1,True
Danny Ward,GK,Leicester,0,0,1.7318,1,2023-01-03,90,Fulham,0,0,1,3439417,1,2,True
Danny Ward,GK,Leicester,3,1,1.4004,0,2022-11-12,90,West Ham,0,0,6,2918468,1,11,False
Danny Ward,GK,Leicester,1,1,0.0,0,2022-10-23,90,Wolverhampton,0,0,5,2792445,0,8,False
Danny Ward,GK,Leicester,0,0,4.23,3,2023-02-19,90,Manchester United,0,0,5,3164982,1,2,False
Danny Ward,GK,Leicester,3,0,1.38,1,2023-03-04,90,Southampton,0,1,4,2901227,1,11,False
Danny Ward,GK,Leicester,0,0,1.28,1,2023-02-11,90,Tottenham,0,0,3,3198639,1,3,True
Danny Ward,GK,Leicester,0,0,1.68,2,2023-02-04,90,Aston Villa,0,0,3,3264673,1,2,False
Danny Ward,GK,Leicester,0,0,0.0,0,2023-04-08,0,Bournemouth,0,0,0,2583698,0,0,True
Danny Ward,GK,Leicester,0,0,2.1392,2,2023-01-14,90,Nottingham Forest,0,0,3,3400376,1,2,False
Danny Ward,GK,Leicester,0,0,1.53,3,2023-03-11,90,Chelsea,0,0,3,2846050,1,2,True
Danny Ward,GK,Leicester,0,0,0.0,0,2023-04-01,0,Crystal Palace,0,0,0,2646060,0,0,False
Danny Ward,GK,Leicester,0,0,0.0,0,2023-04-04,0,Aston Villa,0,0,0,2646060,0,0,True
Danny Ward,GK,Leicester,0,0,0.0,0,2023-04-22,0,Wolverhampton,0,0,0,2415694,0,0,True
Danny Ward,GK,Leicester,0,0,0.0,0,2023-04-15,0,Manchester City,0,0,0,2528943,0,0,False
Danny Ward,GK,Leicester,0,0,0.0,6,2022-09-17,90,Tottenham,0,0,5,2704953,0,0,False
Danny Ward,GK,Leicester,0,0,0.0,0,2023-05-08,0,Fulham,0,0,0,2230268,0,0,False
Danny Ward,GK,Leicester,0,0,0.0,0,2023-04-25,0,Leicester City,0,0,0,2367283,0,0,False
Danny Ward,GK,Leicester,0,0,0.0,2,2022-08-27,90,Chelsea,0,0,1,2645665,0,1,False
Danny Ward,GK,Leicester,0,0,0.0,1,2022-09-01,90,Manchester United,0,0,1,2662635,0,2,True
Danny Ward,GK,Leicester,0,0,0.0,5,2022-09-04,90,Brighton,0,0,7,2723072,0,2,False
Danny Ward,GK,Leicester,1,1,0.0,0,2022-10-03,90,Nottingham Forest,0,0,3,2708331,0,8,True
Danny Ward,GK,Leicester,0,0,0.0,0,2023-05-28,0,West Ham,0,0,0,2094773,0,0,True
Danny Ward,GK,Leicester,0,0,0.0,0,2023-05-15,0,Liverpool,0,0,0,2213635,0,0,True
Danny Ward,GK,Leicester,0,0,0.0,0,2023-05-01,0,Everton,0,0,0,2265906,0,0,True
Danny Ward,GK,Leicester,0,0,0.0,0,2023-05-22,0,Newcastle United,0,0,0,2157777,0,0,False
