Opponent,Home Difficulty,Away Difficulty
Arsenal,2.2226623124433478,-1.7712234132729705
Aston Villa,-2.494660387690633,-2.754190474547217
Bournemouth,-5.860929689940362,
Brentford,,0.19049685192270632
Brighton,,4.261884116139237
Burnley,-0.6794581806848732,
Crystal Palace,-1.4203491656550367,-1.8419809998096663
Everton,1.0083533489096559,-3.305033922702477
Fulham,,-1.8312713568313492
Ipswich Town,,
Leeds United,-3.796490450984021,-3.0016686419158916
Leicester City,1.122712846476496,5.05512214355086
Liverpool,,0.3214611694888173
Luton,,
Manchester City,0.823595879813293,
Manchester United,-1.3806623536923113,
Newcastle United,,-0.48478535989485105
Norwich,-6.251438355876795,
Nottingham Forest,,-2.008195699371579
Sheffield,,
Southampton,-1.1258765545904084,0.6262214831280987
Tottenham,-1.0140179352175396,-1.6889782038655317
Watford,,-0.6141750580908993
West Ham,-1.253932312883554,4.469988211722484
Wolverhampton,-5.721358970454925,0.770940951934347
