name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,form,clean_sheet_probability
Alex McCarthy,Southampton,Everton,2021-08-14,False,90,3,3,0,2,0,False,0.0,0.0,0.0
Alex McCarthy,Southampton,Watford,2021-10-30,False,90,0,3,0,8,1,True,0.0,2.0,0.5
Alex McCarthy,Southampton,Aston Villa,2021-11-05,True,90,0,3,0,9,2,True,0.0,5.0,0.67
Alex McCarthy,Southampton,Norwich,2021-11-20,False,90,2,2,0,1,0,False,0.0,6.33,0.5
Alex McCarthy,Southampton,Liverpool,2021-11-27,False,90,4,2,0,0,0,False,0.0,5.0,0.4
Alex McCarthy,Southampton,Leeds United,2021-12-01,True,90,2,4,0,2,0,False,0.02,4.0,0.33
Alex McCarthy,Southampton,Brighton,2021-12-04,True,90,1,3,0,3,0,False,0.0,4.0,0.29
Alex McCarthy,Southampton,Manchester United,2021-08-22,True,90,1,2,0,2,0,False,0.0,3.0,0.25
Alex McCarthy,Southampton,Newcastle United,2021-08-28,False,90,2,2,0,1,0,False,0.0,1.6,0.22
Alex McCarthy,Southampton,Liverpool,2022-05-17,True,90,2,3,0,2,0,False,0.0,1.6,0.2
Alex McCarthy,Southampton,Leeds United,2022-05-22,False,90,4,2,0,0,0,False,0.0,2.0,0.18
Alex McCarthy,Southampton,West Ham,2021-09-11,True,90,0,3,0,7,0,True,0.0,1.6,0.25
Alex McCarthy,Southampton,Manchester City,2021-09-18,False,90,0,1,0,6,0,True,0.0,2.4,0.31
Alex McCarthy,Southampton,Wolverhampton,2021-09-26,True,90,1,2,0,2,0,False,0.0,3.2,0.29
Alex McCarthy,Southampton,Chelsea,2021-10-02,False,90,3,6,0,3,0,False,0.0,3.4,0.27
Alex McCarthy,Southampton,Leicester City,2021-10-16,True,90,0,0,0,5,0,True,0.0,3.6,0.31
Alex McCarthy,Southampton,Burnley,2021-10-23,True,90,2,3,0,2,0,False,0.0,4.6,0.29
