name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,form,clean_sheet_probability
Emiliano Martínez,Aston Villa,Watford,2021-08-14,False,90,3,4,0,2,0,False,0.0,0.0,0.0
Emiliano Martínez,Aston Villa,West Ham,2021-10-31,True,90,4,4,0,1,0,False,0.0,2.0,0.0
Emiliano Martínez,Aston Villa,Southampton,2021-11-05,False,90,1,2,0,2,0,False,0.0,1.5,0.0
Emiliano Martínez,Aston Villa,Brighton,2021-11-20,True,90,0,2,0,6,0,True,0.0,1.67,0.25
Emiliano Martínez,Aston Villa,Crystal Palace,2021-11-27,False,90,1,2,0,2,0,False,0.0,2.75,0.2
Emiliano Martínez,Aston Villa,Manchester City,2021-12-01,True,90,2,5,0,2,0,False,0.0,2.6,0.17
Emiliano Martínez,Aston Villa,Leeds United,2021-12-05,True,90,1,3,0,3,0,False,0.0,2.6,0.14
Emiliano Martínez,Aston Villa,Liverpool,2021-12-11,False,90,1,4,0,3,0,False,0.0,3.0,0.12
Emiliano Martínez,Aston Villa,Norwich,2021-12-14,False,90,0,3,0,7,0,True,0.0,3.2,0.22
Emiliano Martínez,Aston Villa,Chelsea,2021-12-26,True,90,3,1,0,0,0,False,0.0,3.4,0.2
Emiliano Martínez,Aston Villa,Newcastle United,2021-08-21,True,90,0,1,0,5,0,True,0.0,3.0,0.27
Emiliano Martínez,Aston Villa,Brentford,2022-01-02,False,90,2,2,0,1,0,False,0.0,3.6,0.25
Emiliano Martínez,Aston Villa,Manchester United,2022-01-15,True,90,2,4,0,2,0,False,0.0,3.2,0.23
Emiliano Martínez,Aston Villa,Everton,2022-01-22,False,90,0,0,0,5,0,True,0.0,3.0,0.29
Emiliano Martínez,Aston Villa,Leicester City,2022-02-09,True,90,3,4,0,2,0,False,0.0,2.6,0.27
Emiliano Martínez,Aston Villa,Newcastle United,2022-02-13,False,90,1,1,0,2,0,False,0.0,3.0,0.25
Emiliano Martínez,Aston Villa,Watford,2022-02-19,True,90,1,3,0,3,0,False,0.0,2.4,0.24
Emiliano Martínez,Aston Villa,Brighton,2022-02-26,False,90,0,1,0,5,0,True,0.0,2.8,0.28
Emiliano Martínez,Aston Villa,Southampton,2022-03-05,True,90,0,1,0,6,0,True,0.0,3.4,0.32
Emiliano Martínez,Aston Villa,Leicester City,2022-03-10,False,90,0,1,0,6,0,True,0.0,3.6,0.35
Emiliano Martínez,Aston Villa,West Ham,2022-03-13,False,90,2,2,0,1,0,False,0.0,4.4,0.33
Emiliano Martínez,Aston Villa,Brentford,2021-08-28,True,90,1,1,0,2,0,False,0.0,4.2,0.32
Emiliano Martínez,Aston Villa,Arsenal,2022-03-19,True,90,1,3,0,3,0,False,0.0,4.0,0.3
Emiliano Martínez,Aston Villa,Wolverhampton,2022-04-02,False,90,2,3,0,2,0,False,0.0,3.6,0.29
Emiliano Martínez,Aston Villa,Tottenham,2022-04-09,True,90,4,1,0,0,0,False,0.0,2.8,0.28
Emiliano Martínez,Aston Villa,Leeds United,2022-04-23,False,90,0,2,0,6,0,True,0.0,1.6,0.31
Emiliano Martínez,Aston Villa,Norwich,2022-04-30,True,90,0,3,0,7,0,True,0.0,2.6,0.33
Emiliano Martínez,Aston Villa,Burnley,2022-05-07,False,90,1,5,0,3,0,False,0.0,3.6,0.32
Emiliano Martínez,Aston Villa,Liverpool,2022-05-10,True,90,2,3,0,2,0,False,0.0,3.6,0.31
Emiliano Martínez,Aston Villa,Crystal Palace,2022-05-15,True,90,1,3,0,3,0,False,0.0,3.6,0.3
Emiliano Martínez,Aston Villa,Burnley,2022-05-19,True,90,1,3,0,3,0,False,0.0,4.2,0.29
Emiliano Martínez,Aston Villa,Everton,2021-09-18,True,90,0,1,0,8,2,True,0.0,3.6,0.31
Emiliano Martínez,Aston Villa,Manchester United,2021-09-25,False,90,0,4,0,9,2,True,0.0,3.8,0.33
Emiliano Martínez,Aston Villa,Tottenham,2021-10-03,False,90,2,6,0,4,1,False,0.0,5.0,0.32
Emiliano Martínez,Aston Villa,Wolverhampton,2021-10-16,True,90,3,1,0,1,0,False,0.0,5.4,0.31
Emiliano Martínez,Aston Villa,Arsenal,2021-10-22,False,90,3,6,1,10,2,False,0.0,5.0,0.31
