name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,form,clean_sheet_probability
Daniel Bachmann,Watford,Aston Villa,2021-08-14,True,90,2,0,0,1,0,False,0,0.0,0.0
Daniel Bachmann,Watford,Leeds United,2021-11-28,False,90,4,4,0,1,0,False,0,1.0,0.0
Daniel Bachmann,Watford,Chelsea,2021-12-01,True,90,2,2,0,1,0,False,0,1.0,0.0
Daniel Bachmann,Watford,Manchester City,2021-12-04,True,90,3,9,0,4,0,False,0,1.0,0.0
Daniel Bachmann,Watford,Brentford,2021-12-10,False,90,2,3,0,2,0,False,0,1.75,0.0
Daniel Bachmann,Watford,Brighton,2021-08-21,False,90,2,1,0,1,0,False,0,1.8,0.0
Daniel Bachmann,Watford,West Ham,2021-12-28,True,90,4,2,0,0,0,False,0,1.8,0.0
Daniel Bachmann,Watford,Tottenham,2022-01-01,True,90,1,9,0,5,0,False,0,1.6,0.0
Daniel Bachmann,Watford,Norwich,2022-01-21,True,90,3,0,0,1,0,False,0,2.4,0.0
Daniel Bachmann,Watford,Tottenham,2021-08-29,False,90,1,7,0,4,0,False,0,1.8,0.0
Daniel Bachmann,Watford,Chelsea,2022-05-22,False,90,2,6,0,3,0,False,0,2.2,0.0
Daniel Bachmann,Watford,Wolverhampton,2021-09-11,True,90,2,4,0,2,0,False,0,2.6,0.0
