name,team,opponent_team,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,form,clean_sheet_probability,saves_per_game
Rui Pedro dos Santos Patrício,Wolves,Leeds United,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Everton,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Crystal Palace,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,West Ham,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Norwich,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Burnley,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Liverpool,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Manchester City,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Brighton,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Chelsea,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Tottenham,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Manchester United,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Southampton,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Brentford,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Arsenal,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Tottenham,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Leeds United,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Arsenal,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,West Ham,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Crystal Palace,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Watford,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Everton,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Manchester United,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Leicester City,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Aston Villa,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Newcastle United,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Burnley,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Brighton,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Chelsea,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Manchester City,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Norwich,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Liverpool,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Watford,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Brentford,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Southampton,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Newcastle United,True,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Aston Villa,False,0,0,0,0,0,0,False,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,Wolves,Leicester City,False,0,0,0,0,0,0,False,0.0,0.0,0.0
