name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,form,clean_sheet_probability
Bernd Leno,Arsenal,Brentford,2021-08-13,False,90,2,1,0,1,0,False,0.0,0.0,0.0
Bernd Leno,Arsenal,Chelsea,2021-08-22,True,90,2,3,0,2,0,False,0.0,1.0,0.0
Bernd Leno,Arsenal,Manchester City,2021-08-28,False,90,5,5,0,1,0,False,0.0,1.5,0.0
Bernd Leno,Arsenal,Aston Villa,2022-03-19,False,90,0,1,0,6,0,True,0.0,1.33,0.25
