name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Daniel Jebbison,FWD,Bournemouth,0,1.6,2024-08-17,21,Nottingham Forest,0,1,False
Daniel Jebbison,FWD,Bournemouth,0,0.0,2024-08-25,5,Newcastle United,0,1,True
Daniel Jebbison,FWD,Bournemouth,0,0.0,2024-08-31,0,Everton,0,0,False
Daniel Jebbison,FWD,Bournemouth,0,0.0,2024-09-14,0,Chelsea,0,0,True
Daniel Jebbison,FWD,Bournemouth,0,0.0,2024-09-21,0,Liverpool,0,0,False
Daniel Jebbison,FWD,Bournemouth,0,0.0,2024-09-30,0,Southampton,0,0,True
Daniel Jebbison,FWD,Bournemouth,0,0.0,2024-10-05,0,Leicester City,0,0,False
