Player Name,Team,Value,Expected Points
Chris Martin,Wolverhampton,6.0,6.6
Ethan Miller,Brighton,5.8,6.2
Leo Turner,Manchester United,6.5,8.0
Noah Martin,Arsenal,5.9,10.9
Ryan Jackson,Arsenal,9.7,10.2
Matt Baker,Ipswich Town,5.0,0.9
Nathan Scott,Aston Villa,7.9,15.9
Tom Taylor,Newcastle United,7.9,10.6
Tom Brown,Fulham,5.2,4.6
Chris Anderson,Nottingham Forest,5.1,2.3
Mark Davis,Newcastle United,6.2,11.7
Tom Moore,Leicester City,7.4,14.8
Ryan Smith,Arsenal,8.6,13.6
Sam Adams,Tottenham,9.5,17.0
Michael Thomas,Leicester City,6.4,10.3
Jacob Martin,Newcastle United,8.5,14.7
Mark Thomas,Leicester City,9.6,19.0
Alex Baker,Leicester City,6.3,6.6
Nathan Young,Aston Villa,6.1,4.3
Alex Thompson,Chelsea,5.7,5.2
Alex Johnson,Nottingham Forest,6.0,8.3
Max Miller,Brentford,5.6,4.6
Ben Smith,Everton,6.1,7.1
Daniel Adams,Manchester United,6.4,10.2
Ryan Martin,Manchester City,6.4,8.6
James Turner,West Ham,7.5,17.6
Josh Scott,Manchester City,6.3,5.3
Adam Green,Manchester City,6.3,4.6
David Evans,Newcastle United,7.7,13.9
Adam Green,Southampton,7.4,14.9
Max King,Everton,8.0,18.0
Jacob Smith,Brentford,4.6,3.2
Josh Clark,Liverpool,5.4,5.9
Luke Collins,Bournemouth,6.4,7.4
Steve Clark,Brighton,5.8,8.7
Nathan Collins,Brentford,5.4,3.6
Jack Jones,Aston Villa,5.5,1.1
Tom Evans,Chelsea,5.9,10.2
Henry Scott,Aston Villa,6.2,10.9
Ethan Evans,Arsenal,7.1,13.8
Steve King,Newcastle United,6.7,6.2
Adam Taylor,Nottingham Forest,4.9,5.8
Ethan Baker,Aston Villa,6.4,7.0
James Thompson,Brentford,5.2,1.3
Josh Adams,Nottingham Forest,5.5,0.6
Jack Bell,Newcastle United,6.2,6.6
Josh Taylor,West Ham,8.5,15.6
Oscar Collins,Leicester City,6.2,8.4
Oliver King,Chelsea,5.3,1.9
James Baker,Chelsea,6.0,6.6
Michael Smith,Manchester United,5.1,3.0
Ryan Turner,Manchester City,4.7,2.9
Henry Scott,Manchester United,5.5,0.7
Matt Martinez,Bournemouth,5.9,7.0
Daniel Adams,Tottenham,5.5,0.1
Josh Garcia,Liverpool,7.9,19.1
Steve Smith,Chelsea,8.6,16.7
Steve Green,Ipswich Town,7.5,18.3
Liam Thompson,Manchester City,5.9,4.3
David Thomas,Arsenal,8.3,17.7
Liam Adams,Leicester City,8.0,14.6
Daniel Anderson,Manchester United,6.1,6.2
Liam Wilson,Fulham,7.5,18.5
Josh Moore,Chelsea,7.5,11.3
Josh Scott,Aston Villa,9.2,14.7
Josh Turner,Fulham,7.2,13.7
Ethan Adams,Manchester City,4.8,1.3
Oscar Martin,Chelsea,5.3,3.8
David Martinez,Brighton,5.7,5.6
Steve Garcia,Liverpool,7.9,16.0
James Harris,Southampton,6.1,9.4
Oscar Collins,Southampton,8.3,12.5
Daniel Turner,Manchester City,6.7,11.1
Leo King,Everton,7.8,11.6
Jacob Smith,Manchester United,6.1,7.3
Nathan Baker,Brighton,7.9,19.0
Josh Williams,Newcastle United,4.6,3.2
Jack Thomas,Fulham,7.5,17.8
David Jackson,Manchester City,7.3,11.3
Steve Smith,West Ham,5.0,0.4
Leo Baker,Liverpool,4.6,3.7
John Scott,West Ham,5.1,4.4
Luke Green,Crystal Palace,8.0,14.1
Tom Young,Brighton,5.6,4.3
Josh Garcia,Manchester United,4.7,5.1
Jack Adams,Manchester City,5.9,11.4
Nathan Collins,Arsenal,5.3,1.9
Adam Green,Brentford,7.9,13.0
Nathan Moore,West Ham,5.0,4.2
Steve Scott,Manchester City,6.2,11.9
Noah Baker,Crystal Palace,5.8,11.5
Leo Martin,Everton,6.7,6.6
Sam Miller,Arsenal,7.4,18.4
Ben Johnson,Bournemouth,7.8,13.7
Jacob Thompson,Liverpool,5.3,3.0
Luke White,Wolverhampton,5.2,2.5
James Miller,Bournemouth,5.1,1.0
Luke Young,Chelsea,8.0,13.0
Leo Scott,Arsenal,7.5,14.1
Oscar Davis,Everton,7.1,17.3
John Scott,Arsenal,5.8,9.0
Mark Green,Southampton,8.5,18.8
Alex Thompson,Ipswich Town,8.0,15.6
Sam Brown,Leicester City,5.8,4.0
James White,West Ham,4.8,1.5
James Evans,Leicester City,5.1,1.0
Charlie Collins,Leicester City,6.0,6.7
Tom Green,Brighton,7.6,18.0
Alex Martinez,Liverpool,6.2,11.6
Sam Williams,Wolverhampton,6.6,9.8
Liam White,Southampton,5.0,3.7
Tom Harris,Brentford,6.5,10.2
Henry Thompson,Everton,5.9,11.1
Matt Adams,Brighton,6.9,9.8
James Clark,Everton,5.9,7.3
Jacob Miller,Liverpool,8.9,18.1
Jacob Young,Aston Villa,6.1,8.9
Adam Jackson,Crystal Palace,4.9,4.0
Daniel Adams,Southampton,5.3,4.2
Tom Green,Arsenal,7.0,10.3
James Harris,Tottenham,7.8,17.2
Chris Miller,Brentford,7.4,18.9
Daniel Adams,Manchester United,8.1,14.7
Henry Williams,West Ham,6.1,7.0
David Jones,Ipswich Town,4.8,1.9
Tom Bell,Southampton,6.6,7.3
Nathan Baker,Tottenham,5.0,4.9
James Jackson,Manchester United,6.7,11.4
Michael Young,Aston Villa,6.4,7.2
David White,Crystal Palace,7.9,12.0
Adam Bell,Arsenal,7.7,16.4
Jacob Bell,Southampton,5.0,4.2
Liam Harris,Wolverhampton,7.1,11.7
Matt Thomas,Southampton,5.1,5.0
Tom Johnson,Southampton,6.4,5.3
Noah Moore,Bournemouth,7.3,12.4
Sam Miller,West Ham,6.9,4.2
Matt Clark,Crystal Palace,6.0,5.9
Chris Garcia,Southampton,8.0,16.1
Charlie Anderson,Ipswich Town,4.7,2.7
Liam Jones,Brentford,5.7,8.3
Jacob Moore,Brighton,5.7,8.6
Matt White,Southampton,5.6,5.1
Alex Bell,Manchester City,8.9,11.3
Noah Bell,Tottenham,7.3,11.3
Daniel Collins,Tottenham,5.2,5.8
Chris Clark,Aston Villa,6.7,8.2
Chris Davis,Wolverhampton,5.1,2.7
Charlie Taylor,Southampton,8.4,17.1
Josh King,Manchester United,5.1,0.4
Nathan Clark,Arsenal,4.8,1.8
David Young,Wolverhampton,6.7,11.2
Daniel Williams,Arsenal,5.9,7.6
Alex Moore,Brighton,6.4,10.7
Leo Johnson,Nottingham Forest,8.7,18.3
Adam Collins,Southampton,6.3,10.2
David Thomas,Liverpool,6.2,6.6
Liam Clark,West Ham,6.1,7.2
Nathan Smith,Southampton,5.8,5.6
Matt Brown,Everton,6.8,6.9
Oliver Smith,West Ham,4.7,2.9
Adam White,Crystal Palace,5.1,4.2
Jack Moore,Manchester City,5.5,1.3
Josh Miller,Tottenham,6.0,11.0
Jacob Moore,West Ham,7.9,15.0
