name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals_conceded,fixture,goals_conceded,minutes,opponent_team,own_goals,penalties_saved,red_cards,saves,starts,total_points,was_home,yellow_cards
Robert Sánchez,GK,Chelsea,1.9,0,0,0,0.0,1.28,9,1,90,Liverpool,0,0,0,0,1,2,True,0
Robert Sánchez,GK,Chelsea,1.7,0,0,0,0.0,2.16,95,2,90,Brentford,0,0,0,3,1,2,True,0
Robert Sánchez,GK,Chelsea,2.0,0,0,0,0.0,0.94,110,1,90,Tottenham,0,0,0,4,1,3,False,0
Robert Sánchez,GK,Chelsea,1.3,0,0,0,0.0,2.9,115,4,90,Manchester City,0,0,0,6,1,2,True,0
Robert Sánchez,GK,Chelsea,1.2,0,0,0,0.0,2.28,127,4,90,Newcastle United,0,0,0,1,1,0,False,0
Robert Sánchez,GK,Chelsea,1.8,0,0,0,0.0,1.02,135,2,90,Brighton,0,0,0,7,1,2,True,1
Robert Sánchez,GK,Chelsea,3.3,0,3,0,0.0,4.07,150,2,90,Manchester United,0,1,0,7,1,11,False,0
Robert Sánchez,GK,Chelsea,3.6,0,0,0,0.0,1.01,154,1,83,Everton,0,0,0,3,1,3,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,165,0,0,Sheffield,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,180,0,0,Wolverhampton,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,186,0,0,Crystal Palace,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,2.0,0,0,0,0.0,1.8,19,3,90,West Ham,0,0,0,3,1,2,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,195,0,0,Luton,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,206,0,0,Fulham,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,219,0,0,Liverpool,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,226,0,0,Wolverhampton,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,232,0,0,Crystal Palace,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,-1.0,0,0,0,0.0,0.0,246,0,0,Manchester City,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,261,0,0,Brentford,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,275,0,0,Newcastle United,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,3.8,0,0,1,0.0,0.43,26,0,90,Luton,0,0,0,1,1,6,True,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,294,0,0,Burnley,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,307,0,0,Manchester United,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,0.4,0,0,0,0.0,0.0,318,0,0,Sheffield,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,325,0,0,Everton,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,-0.8,0,0,0,0.0,0.0,281,0,0,Arsenal,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,-0.2,0,0,0,0.0,0.0,341,0,0,Aston Villa,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,-0.2,0,0,0,0.0,0.0,255,0,0,Tottenham,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,355,0,0,West Ham,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,367,0,0,Nottingham Forest,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,332,0,0,Brighton,0,0,0,0,0,0,False,0
Robert Sánchez,GK,Chelsea,0.0,0,0,0,0.0,0.0,375,0,0,Bournemouth,0,0,0,0,0,0,True,0
Robert Sánchez,GK,Chelsea,3.0,0,0,0,0.0,0.71,35,1,90,Nottingham Forest,0,0,0,2,1,2,True,0
Robert Sánchez,GK,Chelsea,6.0,0,3,1,0.0,1.19,42,0,90,Bournemouth,0,0,0,4,1,10,False,0
Robert Sánchez,GK,Chelsea,5.3,0,0,0,0.0,1.04,55,1,90,Aston Villa,0,0,0,6,1,4,True,0
Robert Sánchez,GK,Chelsea,7.0,0,1,1,0.0,1.08,64,0,90,Fulham,0,0,0,3,1,7,False,1
Robert Sánchez,GK,Chelsea,4.8,0,0,0,0.0,0.75,73,1,90,Burnley,0,0,0,2,1,2,False,0
Robert Sánchez,GK,Chelsea,2.8,0,0,0,0.0,1.06,84,2,90,Arsenal,0,0,0,1,1,1,True,0
