name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,starts,total_points,was_home
André Onana,GK,Man Utd,0,0,1.8,2,2023-08-19,90,Tottenham,0,0,5,1,2,False
André Onana,GK,Man Utd,0,0,1.11,2,2024-02-24,90,Fulham,0,0,3,1,2,True
André Onana,GK,Man Utd,0,0,1.24,2,2023-08-26,90,Nottingham Forest,0,0,2,1,0,True
André Onana,GK,Man Utd,1,1,2.27,0,2023-08-14,90,Wolverhampton,0,0,6,1,9,True
André Onana,GK,Man Utd,2,1,2.35,0,2023-12-17,90,Liverpool,0,0,8,1,10,False
André Onana,GK,Man Utd,0,0,1.36,2,2023-12-23,90,West Ham,0,0,3,1,2,False
André Onana,GK,Man Utd,0,0,1.4,1,2023-12-06,90,Chelsea,0,0,2,1,2,True
André Onana,GK,Man Utd,0,0,2.65,1,2023-12-02,90,Newcastle United,0,0,3,1,3,False
André Onana,GK,Man Utd,0,0,3.94,3,2023-10-29,90,Manchester City,0,0,7,1,2,True
André Onana,GK,Man Utd,1,1,2.73,0,2023-11-26,90,Everton,0,0,6,1,9,False
André Onana,GK,Man Utd,0,1,1.01,0,2023-11-04,90,Fulham,0,0,2,1,6,False
André Onana,GK,Man Utd,0,0,1.36,2,2024-01-14,90,Tottenham,0,0,3,1,2,True
André Onana,GK,Man Utd,0,0,1.68,2,2023-12-26,90,Aston Villa,0,0,1,1,1,True
André Onana,GK,Man Utd,0,0,0.74,2,2023-12-30,90,Nottingham Forest,0,0,0,1,1,False
André Onana,GK,Man Utd,0,0,1.48,3,2023-12-09,90,Bournemouth,0,0,1,1,1,True
André Onana,GK,Man Utd,1,1,0.42,0,2023-11-11,90,Luton,0,0,4,1,8,True
André Onana,GK,Man Utd,0,0,2.49,1,2024-02-11,90,Aston Villa,0,0,8,1,4,False
André Onana,GK,Man Utd,0,0,2.6,1,2024-03-30,90,Brentford,0,0,4,1,3,False
André Onana,GK,Man Utd,1,1,1.69,0,2024-02-04,90,West Ham,0,0,4,1,8,True
André Onana,GK,Man Utd,0,0,2.1,3,2024-02-01,90,Wolverhampton,0,0,3,1,1,False
André Onana,GK,Man Utd,0,0,3.32,3,2024-03-03,90,Manchester City,0,0,5,1,2,False
André Onana,GK,Man Utd,3,1,1.48,0,2024-03-09,90,Everton,0,0,6,1,11,True
André Onana,GK,Man Utd,0,0,1.74,1,2024-02-18,90,Luton,0,0,3,1,3,False
André Onana,GK,Man Utd,0,0,3.04,4,2024-04-04,90,Chelsea,0,0,6,1,2,False
André Onana,GK,Man Utd,0,0,3.59,2,2024-04-07,90,Liverpool,0,0,6,1,2,True
André Onana,GK,Man Utd,0,0,1.75,2,2024-04-13,90,Bournemouth,0,0,3,1,2,False
André Onana,GK,Man Utd,0,0,2.27,3,2023-09-03,90,Arsenal,0,0,2,1,0,False
André Onana,GK,Man Utd,0,0,1.89,3,2023-09-16,90,Brighton,0,0,5,1,2,True
André Onana,GK,Man Utd,0,0,0.95,1,2023-10-07,90,Brentford,0,0,2,1,2,True
André Onana,GK,Man Utd,0,0,1.38,1,2023-10-21,90,Sheffield,0,0,5,1,3,False
André Onana,GK,Man Utd,0,1,1.12,0,2023-09-23,90,Burnley,0,0,4,1,7,False
André Onana,GK,Man Utd,0,0,0.81,1,2023-09-30,90,Crystal Palace,0,0,1,1,2,True
André Onana,GK,Man Utd,0,0,1.47,4,2024-05-06,90,Crystal Palace,0,0,6,1,2,False
André Onana,GK,Man Utd,0,0,2.06,1,2024-04-27,90,Burnley,0,0,6,1,4,True
André Onana,GK,Man Utd,1,1,1.55,0,2024-05-19,90,Brighton,0,0,2,1,7,False
André Onana,GK,Man Utd,0,0,0.77,2,2024-04-24,90,Sheffield,0,0,2,1,1,True
André Onana,GK,Man Utd,0,0,1.71,1,2024-05-12,90,Arsenal,0,0,5,1,3,True
André Onana,GK,Man Utd,0,0,2.32,2,2024-05-15,90,Newcastle United,0,0,5,1,2,True
