name,position,team,xP,assists,bonus,expected_assists,expected_goals,fixture,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Dominic Solanke,FWD,Bournemouth,2.2,0,1,0.14,0.98,3,1,13.6,90,West Ham,0,0,1,7,True,0
Dominic Solanke,FWD,Bournemouth,3.8,0,0,0.03,0.15,93,0,3.7,90,Burnley,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,2.7,0,0,0.01,0.45,106,0,1.6,84,Manchester City,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,5.2,0,3,0.13,1.18,113,2,19.2,90,Newcastle United,0,0,1,13,True,0
Dominic Solanke,FWD,Bournemouth,6.2,0,0,0.03,0.62,129,0,3.1,90,Sheffield,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,5.8,0,0,0.04,1.31,132,1,13.8,90,Aston Villa,0,0,1,6,True,0
Dominic Solanke,FWD,Bournemouth,5.8,0,0,0.03,0.12,143,0,3.9,87,Crystal Palace,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,5.5,0,1,0.03,0.87,157,1,8.0,90,Manchester United,0,0,1,7,False,0
Dominic Solanke,FWD,Bournemouth,6.8,0,3,0.02,0.72,177,3,20.0,90,Nottingham Forest,0,0,1,17,False,0
Dominic Solanke,FWD,Bournemouth,7.6,0,0,0.05,1.01,182,1,7.2,90,Fulham,0,0,1,6,True,0
Dominic Solanke,FWD,Bournemouth,5.5,1,0,0.01,0.15,14,0,5.6,90,Liverpool,0,0,1,5,False,0
Dominic Solanke,FWD,Bournemouth,6.8,0,0,0.0,0.84,198,0,8.3,90,Tottenham,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,2.8,0,0,0.0,0.08,202,0,2.5,82,Liverpool,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,5.0,0,2,0.07,0.52,217,1,9.4,90,West Ham,0,0,1,8,False,0
Dominic Solanke,FWD,Bournemouth,4.0,0,0,0.02,0.0,222,0,2.2,90,Nottingham Forest,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,4.0,1,0,0.25,0.72,233,0,7.3,90,Fulham,0,0,1,4,False,1
Dominic Solanke,FWD,Bournemouth,6.0,1,3,0.01,2.23,247,1,16.3,90,Newcastle United,0,0,1,12,False,0
Dominic Solanke,FWD,Bournemouth,0.0,0,0,0.07,0.31,253,0,7.4,90,Manchester City,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,2.8,0,0,0.1,0.19,262,0,4.1,88,Burnley,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,10.6,0,0,0.16,0.83,273,0,8.2,90,Sheffield,1,0,1,0,True,0
Dominic Solanke,FWD,Bournemouth,10.6,0,2,0.04,0.5,162,1,11.1,90,Luton,0,0,1,8,True,0
Dominic Solanke,FWD,Bournemouth,4.7,0,0,0.04,0.07,22,0,2.3,90,Tottenham,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,4.2,0,2,0.03,0.8,292,1,9.5,84,Everton,0,0,1,7,True,1
Dominic Solanke,FWD,Bournemouth,4.2,0,0,0.02,0.19,302,0,1.6,89,Crystal Palace,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,4.3,0,0,0.04,0.07,316,0,4.4,90,Luton,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,4.5,0,1,0.1,0.26,322,1,9.5,90,Manchester United,0,0,1,7,True,0
Dominic Solanke,FWD,Bournemouth,8.1,0,0,0.0,0.85,331,1,6.7,90,Aston Villa,0,0,1,6,False,0
Dominic Solanke,FWD,Bournemouth,8.1,0,0,0.11,0.13,290,0,5.5,86,Wolverhampton,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,3.8,0,0,0.1,0.29,342,0,5.2,90,Brighton,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,2.8,0,0,0.01,0.12,351,0,3.2,90,Arsenal,0,0,1,2,False,0
Dominic Solanke,FWD,Bournemouth,3.6,0,0,0.04,0.39,362,1,7.6,90,Brentford,0,0,1,6,True,0
Dominic Solanke,FWD,Bournemouth,2.8,0,0,0.0,0.39,375,0,0.8,31,Chelsea,0,0,0,1,False,0
Dominic Solanke,FWD,Bournemouth,5.2,0,1,0.02,0.56,32,1,9.9,90,Brentford,0,0,1,7,False,0
Dominic Solanke,FWD,Bournemouth,3.7,0,0,0.03,0.4,42,0,5.4,90,Chelsea,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,4.2,0,0,0.01,0.6,53,1,6.1,90,Brighton,0,0,1,6,False,0
Dominic Solanke,FWD,Bournemouth,1.4,0,0,0.14,0.15,62,0,4.4,90,Arsenal,0,0,1,2,True,0
Dominic Solanke,FWD,Bournemouth,3.0,0,0,0.17,0.11,75,0,5.9,90,Everton,0,0,1,1,False,1
Dominic Solanke,FWD,Bournemouth,3.3,0,1,0.01,0.48,82,1,8.2,84,Wolverhampton,0,0,1,7,True,0
