name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home
Hugo Bueno López,DEF,Wolves,0,0,0.29,0,3.4,2023-08-14,13,Manchester United,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-10-28,0,Newcastle United,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-11-04,0,Sheffield,0,0,0,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-11-11,0,Tottenham,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-11-27,0,Fulham,0,0,0,False
Hugo Bueno López,DEF,Wolves,0,0,1.58,2,3.7,2023-12-02,61,Arsenal,0,1,1,False
Hugo Bueno López,DEF,Wolves,0,1,0.83,0,1.4,2023-12-05,90,Burnley,0,1,6,True
Hugo Bueno López,DEF,Wolves,0,0,0.31,1,1.4,2023-12-09,68,Nottingham Forest,0,1,2,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-12-17,0,West Ham,0,0,0,False
Hugo Bueno López,DEF,Wolves,0,0,0.54,1,0.4,2023-12-24,3,Chelsea,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.03,0,1.6,2023-12-27,10,Brentford,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,1.1,2023-08-19,4,Brighton,0,0,1,True
Hugo Bueno López,DEF,Wolves,0,0,0.06,0,0.5,2023-12-30,17,Everton,0,0,1,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-01-22,0,Brighton,0,0,0,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-02-01,0,Manchester United,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.21,0,0.8,2024-02-04,3,Chelsea,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-02-10,0,Brentford,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-02-17,0,Tottenham,0,0,0,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-02-25,0,Sheffield,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.42,1,1.2,2024-03-02,31,Newcastle United,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-03-09,0,Fulham,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,1,1.14,0,3.0,2023-08-26,84,Everton,0,1,6,False
Hugo Bueno López,DEF,Wolves,0,0,0.29,1,2.6,2024-03-30,26,Aston Villa,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.81,1,2.2,2024-04-02,67,Burnley,0,1,2,False
Hugo Bueno López,DEF,Wolves,0,0,0.06,0,0.0,2024-04-06,3,West Ham,0,0,1,True
Hugo Bueno López,DEF,Wolves,0,0,0.37,0,1.3,2024-04-13,31,Nottingham Forest,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,1.21,2,0.9,2024-04-20,90,Arsenal,0,1,1,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-04-24,0,Bournemouth,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.07,0,0.0,2024-04-27,5,Luton,0,0,1,True
Hugo Bueno López,DEF,Wolves,0,0,2.67,4,2.2,2024-05-04,70,Manchester City,0,1,0,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2024-05-11,0,Crystal Palace,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.58,0,0.4,2024-05-19,12,Liverpool,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.24,1,0.3,2023-09-03,8,Crystal Palace,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.89,2,0.0,2023-09-16,25,Liverpool,1,0,-2,True
Hugo Bueno López,DEF,Wolves,0,0,0.39,0,0.6,2023-09-23,6,Luton,0,0,1,False
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-09-30,0,Manchester City,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-10-08,0,Aston Villa,0,0,0,True
Hugo Bueno López,DEF,Wolves,0,0,0.0,0,0.0,2023-10-21,0,Bournemouth,0,0,0,False
