name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Cauley Woodrow,FWD,Luton,0,0.0,2023-08-12,2,Brighton,0,1,False
Cauley Woodrow,FWD,Luton,0,0.0,2023-12-23,0,Newcastle United,0,0,True
Cauley Woodrow,FWD,Luton,0,0.0,2023-10-29,0,Aston Villa,0,0,False
Cauley Woodrow,FWD,Luton,0,0.0,2023-11-05,0,Liverpool,0,0,True
Cauley Woodrow,FWD,Luton,0,0.0,2023-11-25,0,Crystal Palace,0,0,True
Cauley Woodrow,FWD,Luton,0,0.0,2023-12-05,0,Arsenal,0,0,True
Cauley Woodrow,FWD,Luton,0,0.0,2023-11-11,0,Manchester United,0,0,False
Cauley Woodrow,FWD,Luton,0,0.0,2023-12-02,0,Brentford,0,0,False
Cauley Woodrow,FWD,Luton,0,0.0,2023-12-10,0,Manchester City,0,0,True
Cauley Woodrow,FWD,Luton,0,0.0,2023-12-26,0,Sheffield,0,0,False
Cauley Woodrow,FWD,Luton,0,0.1,2024-03-16,45,Nottingham Forest,0,1,True
Cauley Woodrow,FWD,Luton,0,0.1,2023-12-30,1,Chelsea,0,1,True
Cauley Woodrow,FWD,Luton,0,0.0,2024-01-12,0,Burnley,0,0,False
Cauley Woodrow,FWD,Luton,0,0.0,2023-08-25,0,Chelsea,0,0,False
Cauley Woodrow,FWD,Luton,0,0.2,2024-01-30,7,Brighton,0,1,True
Cauley Woodrow,FWD,Luton,0,0.3,2024-02-10,3,Sheffield,0,1,True
Cauley Woodrow,FWD,Luton,0,0.3,2024-02-03,2,Newcastle United,0,1,False
Cauley Woodrow,FWD,Luton,0,0.0,2024-03-02,0,Aston Villa,0,0,True
Cauley Woodrow,FWD,Luton,0,0.0,2024-03-30,7,Tottenham,0,1,False
Cauley Woodrow,FWD,Luton,3,5.5,2024-03-09,9,Crystal Palace,0,8,False
Cauley Woodrow,FWD,Luton,0,0.2,2024-03-13,17,Bournemouth,0,1,False
Cauley Woodrow,FWD,Luton,0,2.6,2024-02-18,67,Manchester United,1,1,True
Cauley Woodrow,FWD,Luton,0,3.2,2024-02-21,57,Liverpool,1,0,False
Cauley Woodrow,FWD,Luton,0,0.3,2024-04-03,15,Arsenal,0,1,False
Cauley Woodrow,FWD,Luton,0,5.7,2024-04-06,10,Bournemouth,0,4,True
Cauley Woodrow,FWD,Luton,0,1.8,2024-04-13,31,Manchester City,0,1,False
Cauley Woodrow,FWD,Luton,0,1.6,2023-09-01,6,West Ham,0,1,True
Cauley Woodrow,FWD,Luton,0,2.7,2024-05-03,20,Everton,0,1,True
Cauley Woodrow,FWD,Luton,0,0.2,2023-09-16,9,Fulham,0,1,False
Cauley Woodrow,FWD,Luton,0,1.3,2024-05-19,14,Fulham,0,1,True
Cauley Woodrow,FWD,Luton,0,2.2,2023-09-23,18,Wolverhampton,0,1,True
Cauley Woodrow,FWD,Luton,0,0.8,2024-04-27,24,Wolverhampton,0,1,False
Cauley Woodrow,FWD,Luton,0,0.0,2024-04-20,0,Brentford,0,0,True
Cauley Woodrow,FWD,Luton,0,0.4,2023-09-30,7,Everton,0,1,False
Cauley Woodrow,FWD,Luton,0,0.0,2023-10-03,0,Burnley,0,0,True
Cauley Woodrow,FWD,Luton,0,0.1,2024-05-11,3,West Ham,0,1,False
Cauley Woodrow,FWD,Luton,0,2.1,2023-10-07,23,Tottenham,0,1,True
Cauley Woodrow,FWD,Luton,0,0.9,2023-10-21,9,Nottingham Forest,0,1,False
