Opponent,Location,Team Score,Opponent Score,Goal Differential
Liverpool,Home,2,2,0
Wolverhampton,Away,0,0,0
Brentford,Home,3,2,1
Arsenal,Away,1,2,-1
Brighton,Home,2,1,1
Tottenham,Away,1,2,-1
Nottingham Forest,Away,3,2,1
Newcastle United,Home,1,4,-3
West Ham,Away,1,3,-2
Bournemouth,Home,2,2,0
Aston Villa,Home,3,0,3
Leicester City,Away,3,2,1
Everton,Home,0,0,0
Manchester City,Away,1,2,-1
Manchester United,Home,1,2,-1
Crystal Palace,Away,3,0,3
Southampton,Home,2,1,1
Leeds United,Away,1,0,1
Chelsea,Home,2,1,1
Newcastle United,Away,0,1,-1
Tottenham,Home,0,1,-1
Chelsea,Away,0,0,0
Nottingham Forest,Home,2,0,2
Brighton,Away,1,0,1
Wolverhampton,Home,1,1,0
Brentford,Away,2,3,-1
Arsenal,Home,0,3,-3
Bournemouth,Away,1,2,-1
West Ham,Home,0,1,-1
Everton,Away,3,1,2
Leicester City,Home,2,1,1
Aston Villa,Away,0,1,-1
Manchester City,Home,1,2,-1
Liverpool,Away,0,1,-1
Leeds United,Home,5,3,2
Southampton,Away,2,0,2
Crystal Palace,Home,2,2,0
Manchester United,Away,1,2,-1
