Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester City,Home,0,2,-2
Nottingham Forest,Away,0,1,-1
Brighton,Home,0,2,-2
Aston Villa,Away,1,0,1
Tottenham,Home,1,1,0
Chelsea,Away,1,2,-1
Everton,Away,0,1,-1
Wolverhampton,Home,2,0,2
Fulham,Home,3,1,2
Southampton,Away,1,1,0
Liverpool,Away,0,1,-1
Bournemouth,Home,2,0,2
Manchester United,Away,0,1,-1
Crystal Palace,Home,1,2,-1
Leeds United,Home,0,2,-2
Arsenal,Away,1,3,-2
Brentford,Home,0,2,-2
Leicester City,Away,2,2,0
Wolverhampton,Away,0,1,-1
Everton,Home,2,0,2
Newcastle United,Away,1,1,0
Chelsea,Home,1,1,0
Tottenham,Away,0,2,-2
Nottingham Forest,Home,4,0,4
Brighton,Away,0,4,-4
Aston Villa,Home,1,1,0
Southampton,Home,1,0,1
Newcastle United,Home,1,5,-4
Fulham,Away,1,0,1
Arsenal,Home,2,2,0
Bournemouth,Away,4,0,4
Liverpool,Home,1,2,-1
Crystal Palace,Away,3,4,-1
Manchester City,Away,0,3,-3
Manchester United,Home,1,0,1
Brentford,Away,0,2,-2
Leicester City,Home,3,1,2
Leeds United,Away,1,2,-1
