Opponent,Location,Team Score,Opponent Score,Goal Differential
Wolverhampton,Home,2,1,1
Southampton,Away,2,2,0
Chelsea,Home,3,0,3
Brighton,Away,0,1,-1
Everton,Home,1,1,0
Brentford,Away,2,5,-3
Aston Villa,Home,0,0,0
Crystal Palace,Away,1,2,-1
Arsenal,Home,0,1,-1
Leeds United,Away,0,2,-2
Fulham,Home,2,3,-1
Liverpool,Away,2,1,1
Bournemouth,Home,4,3,1
Tottenham,Away,3,4,-1
Manchester City,Home,1,3,-2
Newcastle United,Away,0,0,0
West Ham,Home,2,2,0
Aston Villa,Away,1,2,-1
Brentford,Home,0,0,0
Nottingham Forest,Away,0,1,-1
Manchester United,Away,2,2,0
Manchester United,Home,0,2,-2
Everton,Away,0,1,-1
Southampton,Home,1,0,1
Chelsea,Away,0,1,-1
Brighton,Home,2,2,0
Wolverhampton,Away,4,2,2
Arsenal,Away,1,4,-3
Nottingham Forest,Home,2,1,1
Crystal Palace,Home,1,5,-4
Liverpool,Home,1,6,-5
Fulham,Away,1,2,-1
Leeds United,Home,1,1,0
Bournemouth,Away,1,4,-3
Manchester City,Away,1,2,-1
Newcastle United,Home,2,2,0
West Ham,Away,1,3,-2
Tottenham,Home,1,4,-3
