Opponent,Location,Team Score,Opponent Score,Goal Differential
Fulham,Away,2,2,0
Crystal Palace,Home,1,1,0
Manchester United,Away,1,2,-1
Bournemouth,Home,9,0,9
Newcastle United,Home,2,1,1
Everton,Away,0,0,0
Brighton,Home,3,3,0
Arsenal,Away,2,3,-1
Manchester City,Home,1,0,1
West Ham,Home,1,0,1
Nottingham Forest,Away,0,1,-1
Leicester City,Home,1,2,-1
Tottenham,Away,2,1,1
Southampton,Home,3,1,2
Aston Villa,Away,3,1,2
Leeds United,Home,2,1,1
Brentford,Away,1,3,-2
Brighton,Away,0,3,-3
Chelsea,Home,0,0,0
Wolverhampton,Away,0,3,-3
Everton,Home,2,0,2
Newcastle United,Away,2,0,2
Crystal Palace,Away,0,0,0
Wolverhampton,Home,2,0,2
Manchester United,Home,7,0,7
Bournemouth,Away,0,1,-1
Manchester City,Away,1,4,-3
Chelsea,Away,0,0,0
Arsenal,Home,2,2,0
Leicester City,Away,6,1,5
Nottingham Forest,Home,3,2,1
West Ham,Away,2,1,1
Tottenham,Home,4,3,1
Fulham,Home,1,0,1
Brentford,Home,1,0,1
Leeds United,Away,3,0,3
Aston Villa,Home,1,1,0
Southampton,Away,4,4,0
