Opponent,Location,Team Score,Opponent Score,Goal Differential
Leeds United,Away,0,1,-1
Tottenham,Home,0,1,-1
Manchester United,Home,0,1,-1
Watford,Away,2,0,2
Brentford,Home,0,2,-2
Southampton,Away,1,0,1
Newcastle United,Home,2,1,1
Aston Villa,Away,3,2,1
Leicester City,Away,1,1,0
Everton,Home,2,1,1
Crystal Palace,Away,0,2,-2
West Ham,Home,1,0,1
Norwich,Away,0,0,0
Burnley,Home,0,0,0
Liverpool,Home,0,1,-1
Manchester City,Away,0,1,-1
Brighton,Away,1,0,1
Chelsea,Home,0,0,0
Manchester United,Away,1,0,1
Southampton,Home,3,1,2
Brentford,Away,2,1,1
Arsenal,Home,0,1,-1
Tottenham,Away,2,0,2
Leeds United,Home,2,1,1
Arsenal,Away,1,2,-1
West Ham,Away,0,1,-1
Crystal Palace,Home,0,2,-2
Watford,Home,4,0,4
Everton,Away,1,0,1
Leicester City,Home,2,3,-1
Aston Villa,Home,2,1,1
Newcastle United,Away,0,1,-1
Burnley,Away,0,1,-1
Brighton,Home,0,3,-3
Chelsea,Away,2,2,0
Manchester City,Home,1,5,-4
Norwich,Home,1,1,0
Liverpool,Away,1,3,-2
