Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester United,Away,1,5,-4
Everton,Home,2,2,0
Burnley,Away,1,1,0
Liverpool,Home,0,3,-3
Newcastle United,Away,1,1,0
West Ham,Home,1,2,-1
Watford,Home,1,0,1
Southampton,Away,0,1,-1
Wolverhampton,Home,1,1,0
Norwich,Away,2,1,1
Leeds United,Home,1,1,0
Tottenham,Away,1,2,-1
Brighton,Away,0,0,0
Crystal Palace,Home,1,0,1
Brentford,Home,2,2,0
Chelsea,Away,2,3,-1
Manchester City,Away,0,7,-7
Arsenal,Home,1,4,-3
Burnley,Home,3,1,2
West Ham,Away,3,2,1
Newcastle United,Home,0,1,-1
Aston Villa,Away,3,3,0
Everton,Away,0,3,-3
Manchester United,Home,2,4,-2
Liverpool,Away,0,6,-6
Tottenham,Home,0,4,-4
Leeds United,Away,0,1,-1
Aston Villa,Home,0,3,-3
Norwich,Home,2,1,1
Wolverhampton,Away,3,2,1
Southampton,Home,1,1,0
Watford,Away,3,0,3
Crystal Palace,Away,0,0,0
Manchester City,Home,0,4,-4
Arsenal,Away,1,2,-1
Chelsea,Home,0,3,-3
Brighton,Home,1,1,0
Brentford,Away,2,1,1
