Opponent,Location,Team Score,Opponent Score,Goal Differential
Arsenal,Away,1,2,-1
Sheffield,Home,2,1,1
Manchester United,Away,2,3,-1
Chelsea,Away,1,0,1
Burnley,Home,1,1,0
Manchester City,Away,0,2,-2
Brentford,Home,1,1,0
Crystal Palace,Away,0,0,0
Luton,Home,2,2,0
Liverpool,Away,0,3,-3
Aston Villa,Home,2,0,2
West Ham,Away,2,3,-1
Brighton,Home,2,3,-1
Everton,Home,0,1,-1
Fulham,Away,0,5,-5
Wolverhampton,Away,1,1,0
Tottenham,Home,0,2,-2
Bournemouth,Home,2,3,-1
Newcastle United,Away,3,1,2
Manchester United,Home,2,1,1
Brentford,Away,2,3,-1
Arsenal,Home,1,2,-1
Bournemouth,Away,1,1,0
Newcastle United,Home,2,3,-1
West Ham,Home,2,0,2
Aston Villa,Away,2,4,-2
Liverpool,Home,0,1,-1
Brighton,Away,0,1,-1
Luton,Away,1,1,0
Crystal Palace,Home,1,1,0
Fulham,Home,3,1,2
Tottenham,Away,1,3,-2
Wolverhampton,Home,2,2,0
Everton,Away,0,2,-2
Manchester City,Home,0,2,-2
Sheffield,Away,3,1,2
Chelsea,Home,2,3,-1
Burnley,Away,2,1,1
