Opponent,Location,Team Score,Opponent Score,Goal Differential
Leicester City,Away,1,2,-1
Fulham,Home,0,0,0
Tottenham,Away,0,1,-1
Newcastle United,Home,1,1,0
Bournemouth,Away,0,0,0
Southampton,Home,1,0,1
Manchester City,Home,0,3,-3
West Ham,Away,0,2,-2
Chelsea,Away,0,3,-3
Nottingham Forest,Home,1,0,1
Crystal Palace,Away,1,2,-1
Leeds United,Home,0,4,-4
Brentford,Away,1,1,0
Brighton,Home,2,3,-1
Arsenal,Home,0,2,-2
Everton,Away,2,1,1
Manchester United,Home,0,1,-1
Aston Villa,Away,1,1,0
West Ham,Home,1,0,1
Manchester City,Away,0,3,-3
Liverpool,Home,3,0,3
Southampton,Away,2,1,1
Bournemouth,Home,0,1,-1
Fulham,Away,1,1,0
Liverpool,Away,0,2,-2
Tottenham,Home,1,0,1
Newcastle United,Away,1,2,-1
Leicester City,Home,2,4,-2
Nottingham Forest,Away,1,1,0
Chelsea,Home,1,0,1
Brentford,Home,2,0,2
Leeds United,Away,1,2,-1
Crystal Palace,Home,2,0,2
Brighton,Away,0,6,-6
Aston Villa,Home,1,0,1
Manchester United,Away,0,2,-2
Everton,Home,1,1,0
Arsenal,Away,0,5,-5
