Opponent,Location,Team Score,Opponent Score,Goal Differential
Tottenham,Away,1,4,-3
Leicester City,Home,2,2,0
Leeds United,Away,2,1,1
Manchester United,Home,0,1,-1
Chelsea,Home,2,1,1
Wolverhampton,Away,0,1,-1
Aston Villa,Away,0,1,-1
Everton,Home,1,2,-1
Manchester City,Away,0,4,-4
West Ham,Home,1,1,0
Bournemouth,Away,1,0,1
Arsenal,Home,1,1,0
Crystal Palace,Away,0,1,-1
Newcastle United,Home,1,4,-3
Liverpool,Away,1,3,-2
Brighton,Home,1,3,-2
Fulham,Away,1,2,-1
Nottingham Forest,Home,0,1,-1
Everton,Away,2,1,1
Aston Villa,Home,0,1,-1
Brentford,Away,0,3,-3
Wolverhampton,Home,1,2,-1
Chelsea,Away,1,0,1
Leicester City,Away,0,1,-1
Leeds United,Home,1,0,1
Manchester United,Away,0,0,0
Brentford,Home,0,2,-2
Tottenham,Home,3,3,0
West Ham,Away,0,1,-1
Manchester City,Home,1,4,-3
Crystal Palace,Home,0,2,-2
Arsenal,Away,3,3,0
Bournemouth,Home,0,1,-1
Newcastle United,Away,1,3,-2
Nottingham Forest,Away,3,4,-1
Fulham,Home,0,2,-2
Brighton,Away,1,3,-2
Liverpool,Home,4,4,0
