Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester United,Away,0,1,-1
Brighton,Home,1,4,-3
Everton,Away,1,0,1
Crystal Palace,Away,2,3,-1
Liverpool,Home,1,3,-2
Luton,Away,1,1,0
Manchester City,Home,2,1,1
Aston Villa,Home,1,1,0
Bournemouth,Away,2,1,1
Newcastle United,Home,2,2,0
Sheffield,Away,1,2,-1
Tottenham,Home,2,1,1
Fulham,Away,2,3,-1
Arsenal,Away,1,2,-1
Burnley,Home,1,0,1
Nottingham Forest,Home,1,1,0
West Ham,Away,0,3,-3
Chelsea,Home,2,1,1
Brentford,Away,4,1,3
Everton,Home,3,0,3
Brighton,Away,0,0,0
Manchester United,Home,3,4,-1
Chelsea,Away,4,2,2
Brentford,Home,0,2,-2
Tottenham,Away,2,1,1
Sheffield,Home,1,0,1
Newcastle United,Away,0,3,-3
Fulham,Home,2,1,1
Aston Villa,Away,0,2,-2
Burnley,Away,1,1,0
West Ham,Home,1,2,-1
Nottingham Forest,Away,2,2,0
Arsenal,Home,0,2,-2
Bournemouth,Home,0,1,-1
Luton,Home,2,1,1
Manchester City,Away,1,5,-4
Crystal Palace,Home,1,3,-2
Liverpool,Away,0,2,-2
