Opponent,Location,Team Score,Opponent Score,Goal Differential
Newcastle United,Away,1,5,-4
Everton,Home,4,0,4
Burnley,Away,3,1,2
Liverpool,Away,0,3,-3
Crystal Palace,Home,3,1,2
Chelsea,Away,1,0,1
Brighton,Home,6,1,5
Wolverhampton,Away,1,1,0
West Ham,Home,4,1,3
Luton,Home,3,1,2
Nottingham Forest,Away,0,2,-2
Fulham,Home,3,1,2
Tottenham,Away,2,1,1
Bournemouth,Away,2,2,0
Manchester City,Home,1,0,1
Arsenal,Home,1,0,1
Brentford,Away,2,1,1
Sheffield,Home,1,1,0
Manchester United,Away,2,3,-1
Burnley,Home,3,2,1
Everton,Away,0,0,0
Newcastle United,Home,1,3,-2
Sheffield,Away,5,0,5
Manchester United,Home,1,2,-1
Fulham,Away,2,1,1
Nottingham Forest,Home,4,2,2
Luton,Away,3,2,1
Tottenham,Home,0,4,-4
West Ham,Away,1,1,0
Wolverhampton,Home,2,0,2
Manchester City,Away,1,4,-3
Brentford,Home,3,3,0
Arsenal,Away,2,0,2
Bournemouth,Home,3,1,2
Chelsea,Home,2,2,0
Brighton,Away,0,1,-1
Liverpool,Home,3,3,0
Crystal Palace,Away,0,5,-5
