Opponent,Location,Team Score,Opponent Score,Goal Differential
Brighton,Away,1,4,-3
Chelsea,Away,0,3,-3
West Ham,Home,1,2,-1
Fulham,Away,0,1,-1
Wolverhampton,Home,1,1,0
Everton,Away,2,1,1
Burnley,Home,1,2,-1
Tottenham,Home,0,1,-1
Nottingham Forest,Away,2,2,0
Aston Villa,Away,1,3,-2
Liverpool,Home,1,1,0
Manchester United,Away,0,1,-1
Crystal Palace,Home,2,1,1
Brentford,Away,1,3,-2
Arsenal,Home,3,4,-1
Manchester City,Home,1,2,-1
Newcastle United,Home,1,0,1
Sheffield,Away,3,2,1
Chelsea,Home,2,3,-1
Burnley,Away,1,1,0
Brighton,Home,4,0,4
Newcastle United,Away,4,4,0
Sheffield,Home,1,3,-2
Manchester United,Home,1,2,-1
Liverpool,Away,1,4,-3
Aston Villa,Home,2,3,-1
Crystal Palace,Away,1,1,0
Bournemouth,Away,3,4,-1
Nottingham Forest,Home,1,1,0
Tottenham,Away,1,2,-1
Arsenal,Away,0,2,-2
Bournemouth,Home,2,1,1
Manchester City,Away,1,5,-4
Brentford,Home,1,5,-4
Wolverhampton,Away,1,2,-1
Everton,Home,1,1,0
West Ham,Away,1,3,-2
Fulham,Home,2,4,-2
