Opponent,Location,Team Score,Opponent Score,Goal Differential
Fulham,Home,0,1,-1
Aston Villa,Away,0,4,-4
Wolverhampton,Home,0,1,-1
Sheffield,Away,2,2,0
Arsenal,Home,0,1,-1
Brentford,Away,3,1,2
Luton,Home,1,2,-1
Bournemouth,Home,3,0,3
Liverpool,Away,0,2,-2
West Ham,Away,1,0,1
Brighton,Home,1,1,0
Crystal Palace,Away,3,2,1
Manchester United,Home,0,3,-3
Nottingham Forest,Away,1,0,1
Newcastle United,Home,3,0,3
Chelsea,Home,2,0,2
Burnley,Away,2,0,2
Tottenham,Away,1,2,-1
Manchester City,Home,1,3,-2
Wolverhampton,Away,0,3,-3
Aston Villa,Home,0,0,0
Fulham,Away,0,0,0
Tottenham,Home,2,2,0
Manchester City,Away,0,2,-2
Crystal Palace,Home,1,1,0
Brighton,Away,1,1,0
West Ham,Home,1,3,-2
Manchester United,Away,0,2,-2
Bournemouth,Away,1,2,-1
Newcastle United,Away,1,1,0
Burnley,Home,1,0,1
Chelsea,Away,0,6,-6
Nottingham Forest,Home,2,0,2
Liverpool,Home,2,0,2
Brentford,Home,1,0,1
Luton,Away,1,1,0
Sheffield,Home,1,0,1
Arsenal,Away,1,2,-1
