Opponent,Location,Team Score,Opponent Score,Goal Differential
Crystal Palace,Away,2,0,2
Leeds United,Home,4,2,2
Bournemouth,Away,3,0,3
Fulham,Home,2,1,1
Aston Villa,Home,2,1,1
Manchester United,Away,1,3,-2
Brentford,Away,3,0,3
Tottenham,Home,3,1,2
Liverpool,Home,3,2,1
Leicester City,Away,1,0,1
Southampton,Away,1,1,0
Nottingham Forest,Home,5,0,5
Chelsea,Away,1,0,1
Wolverhampton,Away,2,0,2
West Ham,Home,3,1,2
Brighton,Away,4,2,2
Newcastle United,Home,0,0,0
Tottenham,Away,2,0,2
Manchester United,Home,3,2,1
Everton,Away,0,1,-1
Brentford,Home,1,1,0
Manchester City,Home,1,3,-2
Aston Villa,Away,4,2,2
Leeds United,Away,1,0,1
Everton,Home,4,0,4
Bournemouth,Home,3,2,1
Fulham,Away,3,0,3
Crystal Palace,Home,4,1,3
Leicester City,Home,4,1,3
Liverpool,Away,2,2,0
West Ham,Away,2,2,0
Southampton,Home,3,3,0
Manchester City,Away,1,4,-3
Chelsea,Home,3,1,2
Newcastle United,Away,2,0,2
Brighton,Home,0,3,-3
Nottingham Forest,Away,0,1,-1
Wolverhampton,Home,5,0,5
