Opponent,Location,Team Score,Opponent Score,Goal Differential
Crystal Palace,Home,3,0,3
Arsenal,Away,2,0,2
Liverpool,Away,1,1,0
Aston Villa,Home,3,0,3
Tottenham,Away,3,0,3
Manchester City,Home,0,1,-1
Southampton,Home,3,1,2
Brentford,Away,1,0,1
Norwich,Home,7,0,7
Newcastle United,Away,3,0,3
Burnley,Home,1,1,0
Leeds United,Away,3,0,3
Manchester United,Home,1,1,0
Watford,Away,2,1,1
West Ham,Away,2,3,-1
Leicester City,Home,3,2,1
Everton,Home,1,1,0
Wolverhampton,Away,0,0,0
Aston Villa,Away,3,1,2
Brighton,Home,1,1,0
Liverpool,Home,2,2,0
Manchester City,Away,0,1,-1
Brighton,Away,1,1,0
Tottenham,Home,2,0,2
Crystal Palace,Away,1,0,1
Burnley,Away,4,0,4
Norwich,Away,3,1,2
Newcastle United,Home,1,0,1
Brentford,Home,1,4,-3
Southampton,Away,6,0,6
Arsenal,Home,2,4,-2
West Ham,Home,1,0,1
Manchester United,Away,1,1,0
Everton,Away,0,1,-1
Wolverhampton,Home,2,2,0
Leicester City,Away,3,0,3
Leeds United,Home,1,1,0
Watford,Home,2,1,1
