Opponent,Location,Team Score,Opponent Score,Goal Differential
Wolverhampton,Home,1,0,1
Tottenham,Away,0,2,-2
Nottingham Forest,Home,3,2,1
Arsenal,Away,1,3,-2
Brighton,Home,1,3,-2
Burnley,Away,1,0,1
Crystal Palace,Home,0,1,-1
Brentford,Home,2,1,1
Sheffield,Away,2,1,1
Manchester City,Home,0,3,-3
Fulham,Away,1,0,1
Luton,Home,1,0,1
Everton,Away,3,0,3
Newcastle United,Away,0,1,-1
Chelsea,Home,2,1,1
Bournemouth,Home,0,3,-3
Liverpool,Away,0,0,0
West Ham,Away,0,2,-2
Aston Villa,Home,3,2,1
Nottingham Forest,Away,1,2,-1
Tottenham,Home,2,2,0
Wolverhampton,Away,4,3,1
West Ham,Home,3,0,3
Aston Villa,Away,2,1,1
Luton,Away,2,1,1
Fulham,Home,1,2,-1
Manchester City,Away,1,3,-2
Everton,Home,2,0,2
Brentford,Away,1,1,0
Chelsea,Away,3,4,-1
Liverpool,Home,2,2,0
Bournemouth,Away,2,2,0
Sheffield,Home,4,2,2
Burnley,Home,1,1,0
Crystal Palace,Away,0,4,-4
Arsenal,Home,0,1,-1
Newcastle United,Home,3,2,1
Brighton,Away,2,0,2
