Opponent,Location,Team Score,Opponent Score,Goal Differential
Tottenham,Home,2,2,0
Fulham,Away,3,0,3
Crystal Palace,Home,1,1,0
Bournemouth,Home,2,2,0
Newcastle United,Away,0,1,-1
Everton,Home,1,3,-2
Nottingham Forest,Away,1,1,0
Manchester United,Away,1,2,-1
Burnley,Home,3,0,3
Chelsea,Away,2,0,2
West Ham,Home,3,2,1
Liverpool,Away,0,3,-3
Arsenal,Home,0,1,-1
Luton,Home,3,1,2
Brighton,Away,1,2,-1
Sheffield,Away,0,1,-1
Aston Villa,Home,1,2,-1
Wolverhampton,Home,1,4,-3
Crystal Palace,Away,1,3,-2
Nottingham Forest,Home,3,2,1
Tottenham,Away,2,3,-1
Manchester City,Home,1,3,-2
Wolverhampton,Away,2,0,2
Liverpool,Home,1,4,-3
Manchester City,Away,0,1,-1
West Ham,Away,2,4,-2
Chelsea,Home,2,2,0
Arsenal,Away,1,2,-1
Burnley,Away,1,2,-1
Manchester United,Home,1,1,0
Brighton,Home,0,0,0
Aston Villa,Away,3,3,0
Sheffield,Home,2,0,2
Luton,Away,5,1,4
Everton,Away,0,1,-1
Fulham,Home,0,0,0
Bournemouth,Away,2,1,1
Newcastle United,Home,2,4,-2
