Opponent,Location,Team Score,Opponent Score,Goal Differential
Watford,Away,2,3,-1
Newcastle United,Home,2,0,2
Brentford,Home,1,1,0
Chelsea,Away,0,3,-3
Everton,Home,3,0,3
Manchester United,Away,1,0,1
Tottenham,Away,1,2,-1
Wolverhampton,Home,2,3,-1
Arsenal,Away,1,3,-2
West Ham,Home,1,4,-3
Southampton,Away,0,1,-1
Brighton,Home,2,0,2
Crystal Palace,Away,2,1,1
Manchester City,Home,1,2,-1
Leeds United,Home,2,1,1
Liverpool,Away,0,1,-1
Norwich,Away,2,0,2
Chelsea,Home,1,3,-2
Brentford,Away,1,2,-1
Manchester United,Home,2,2,0
Everton,Away,1,0,1
Leicester City,Home,3,3,0
Newcastle United,Away,0,1,-1
Watford,Home,0,1,-1
Brighton,Away,2,0,2
Southampton,Home,4,0,4
Leicester City,Away,3,0,3
West Ham,Away,1,2,-1
Arsenal,Home,0,1,-1
Wolverhampton,Away,1,2,-1
Tottenham,Home,0,4,-4
Leeds United,Away,0,0,0
Norwich,Home,2,0,2
Burnley,Away,3,1,2
Liverpool,Home,1,2,-1
Crystal Palace,Home,1,1,0
Burnley,Home,1,1,0
Manchester City,Away,2,3,-1
