Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester City,Home,1,0,1
Wolverhampton,Away,1,0,1
Watford,Home,1,0,1
Crystal Palace,Away,0,3,-3
Chelsea,Home,0,3,-3
Arsenal,Away,1,3,-2
Aston Villa,Home,2,1,1
Newcastle United,Away,3,2,1
West Ham,Away,0,1,-1
Manchester United,Home,0,3,-3
Everton,Away,0,0,0
Leicester City,Home,2,1,1
Brentford,Home,2,0,2
Norwich,Home,3,0,3
Liverpool,Home,2,2,0
Crystal Palace,Home,3,0,3
Southampton,Away,1,1,0
Watford,Away,1,0,1
Leeds United,Away,3,2,1
Chelsea,Away,0,2,-2
Southampton,Home,2,3,-1
Wolverhampton,Home,0,2,-2
Manchester City,Away,3,2,1
Burnley,Away,0,1,-1
Leicester City,Away,4,0,4
Everton,Home,5,0,5
Manchester United,Away,2,3,-1
Brighton,Away,2,0,2
West Ham,Home,3,1,2
Newcastle United,Home,5,1,4
Aston Villa,Away,4,0,4
Brighton,Home,0,1,-1
Brentford,Away,0,0,0
Leeds United,Home,3,1,2
Liverpool,Away,1,1,0
Arsenal,Home,3,0,3
Burnley,Home,1,0,1
Norwich,Away,5,0,5
