Opponent,Location,Team Score,Opponent Score,Goal Differential
Bournemouth,Away,1,1,0
Chelsea,Home,3,1,2
Brighton,Away,3,1,2
Luton,Away,2,1,1
Manchester City,Home,1,3,-2
Liverpool,Away,1,3,-2
Sheffield,Home,2,0,2
Newcastle United,Home,2,2,0
Aston Villa,Away,1,4,-3
Everton,Home,0,1,-1
Brentford,Away,2,3,-1
Nottingham Forest,Home,3,2,1
Burnley,Away,2,1,1
Crystal Palace,Home,1,1,0
Tottenham,Away,2,1,1
Fulham,Away,0,5,-5
Wolverhampton,Home,3,0,3
Manchester United,Home,2,0,2
Arsenal,Away,2,0,2
Brighton,Home,0,0,0
Sheffield,Away,2,2,0
Bournemouth,Home,1,1,0
Manchester United,Away,0,3,-3
Arsenal,Home,0,6,-6
Nottingham Forest,Away,0,2,-2
Brentford,Home,4,2,2
Everton,Away,3,1,2
Burnley,Home,2,2,0
Aston Villa,Home,1,1,0
Newcastle United,Away,3,4,-1
Tottenham,Home,1,1,0
Wolverhampton,Away,2,1,1
Fulham,Home,0,2,-2
Crystal Palace,Away,2,5,-3
Liverpool,Home,2,2,0
Chelsea,Away,0,5,-5
Luton,Home,3,1,2
Manchester City,Away,1,3,-2
