Opponent,Location,Team Score,Opponent Score,Goal Differential
Arsenal,Home,0,2,-2
Liverpool,Away,1,1,0
Aston Villa,Home,3,1,2
Manchester City,Away,2,4,-2
Brentford,Home,1,1,0
Newcastle United,Away,0,0,0
Chelsea,Home,1,2,-1
Leicester City,Home,2,1,1
Leeds United,Away,0,0,0
Wolverhampton,Home,2,1,1
Everton,Away,0,3,-3
Southampton,Home,1,0,1
West Ham,Away,2,1,1
Nottingham Forest,Away,0,1,-1
Fulham,Home,0,3,-3
Bournemouth,Away,2,0,2
Tottenham,Home,0,4,-4
Chelsea,Away,0,1,-1
Manchester United,Home,1,1,0
Newcastle United,Home,0,0,0
Manchester United,Away,1,2,-1
Brighton,Home,1,1,0
Brentford,Away,1,1,0
Liverpool,Home,0,0,0
Aston Villa,Away,0,1,-1
Manchester City,Home,0,1,-1
Brighton,Away,0,1,-1
Arsenal,Away,1,4,-3
Leeds United,Home,2,1,1
Leicester City,Away,5,1,4
Southampton,Away,2,0,2
Everton,Home,0,0,0
Wolverhampton,Away,0,2,-2
West Ham,Home,4,3,1
Tottenham,Away,0,1,-1
Bournemouth,Home,2,0,2
Fulham,Away,2,2,0
Nottingham Forest,Home,1,1,0
