Opponent,Location,Team Score,Opponent Score,Goal Differential
Everton,Away,1,3,-2
Manchester United,Home,1,1,0
Newcastle United,Away,2,2,0
West Ham,Home,0,0,0
Manchester City,Away,0,0,0
Wolverhampton,Home,0,1,-1
Chelsea,Away,1,3,-2
Leicester City,Home,1,0,1
Burnley,Home,2,2,0
Watford,Away,1,0,1
Aston Villa,Home,1,0,1
Norwich,Away,1,2,-1
Liverpool,Away,0,4,-4
Leeds United,Home,2,2,0
Brighton,Home,1,1,0
Arsenal,Away,0,3,-3
Crystal Palace,Away,2,2,0
West Ham,Away,3,2,1
Tottenham,Home,1,1,0
Brentford,Home,4,1,3
Wolverhampton,Away,1,3,-2
Manchester City,Home,1,1,0
Tottenham,Away,3,2,1
Manchester United,Away,1,1,0
Everton,Home,2,0,2
Norwich,Home,2,0,2
Aston Villa,Away,0,4,-4
Newcastle United,Home,1,2,-1
Watford,Home,1,2,-1
Leicester City,Away,1,1,0
Chelsea,Home,0,6,-6
Arsenal,Home,1,0,1
Burnley,Away,0,2,-2
Brighton,Away,2,2,0
Crystal Palace,Home,1,2,-1
Brentford,Away,0,3,-3
Liverpool,Home,1,2,-1
Leeds United,Away,1,4,-3
