Opponent,Location,Team Score,Opponent Score,Goal Differential
Brentford,Home,2,2,0
Arsenal,Away,2,4,-2
Southampton,Home,1,2,-1
Chelsea,Away,1,2,-1
Manchester United,Home,0,1,-1
Brighton,Away,2,5,-3
Tottenham,Away,2,6,-4
Nottingham Forest,Home,4,0,4
Bournemouth,Away,1,2,-1
Crystal Palace,Home,0,0,0
Leicester City,Home,2,0,2
Wolverhampton,Away,4,0,4
Manchester City,Home,0,1,-1
Everton,Away,2,0,2
West Ham,Away,2,0,2
Newcastle United,Home,0,3,-3
Liverpool,Away,1,2,-1
Fulham,Home,0,1,-1
Nottingham Forest,Away,0,2,-2
Brighton,Home,2,2,0
Aston Villa,Away,4,2,2
Tottenham,Home,4,1,3
Manchester United,Away,0,3,-3
Arsenal,Home,0,1,-1
Southampton,Away,0,1,-1
Chelsea,Home,1,3,-2
Brentford,Away,1,1,0
Crystal Palace,Away,1,2,-1
Aston Villa,Home,1,2,-1
Bournemouth,Home,0,1,-1
Manchester City,Away,1,3,-2
Wolverhampton,Home,2,1,1
Leicester City,Away,1,1,0
Everton,Home,2,2,0
Fulham,Away,3,5,-2
Liverpool,Home,0,3,-3
Newcastle United,Away,0,0,0
West Ham,Home,2,1,1
