Opponent,Location,Team Score,Opponent Score,Goal Differential
Burnley,Away,3,0,3
Newcastle United,Home,1,0,1
Sheffield,Away,2,1,1
Fulham,Home,5,1,4
West Ham,Away,3,1,2
Nottingham Forest,Home,2,0,2
Wolverhampton,Away,1,2,-1
Arsenal,Away,0,1,-1
Brighton,Home,2,1,1
Manchester United,Away,3,0,3
Bournemouth,Home,6,1,5
Chelsea,Away,4,4,0
Liverpool,Home,1,1,0
Tottenham,Home,3,3,0
Aston Villa,Away,0,1,-1
Luton,Away,2,1,1
Crystal Palace,Home,2,2,0
Everton,Away,3,1,2
Sheffield,Home,2,0,2
Newcastle United,Away,3,2,1
Burnley,Home,3,1,2
Brentford,Away,3,1,2
Everton,Home,2,0,2
Chelsea,Home,1,1,0
Brentford,Home,1,0,1
Bournemouth,Away,1,0,1
Manchester United,Home,3,1,2
Liverpool,Away,1,1,0
Arsenal,Home,0,0,0
Aston Villa,Home,4,1,3
Crystal Palace,Away,4,2,2
Luton,Home,5,1,4
Brighton,Away,4,0,4
Nottingham Forest,Away,2,0,2
Wolverhampton,Home,5,1,4
Fulham,Away,4,0,4
Tottenham,Away,2,0,2
West Ham,Home,3,1,2
