Opponent,Location,Team Score,Opponent Score,Goal Differential
Burnley,Away,2,1,1
Watford,Home,2,0,2
Everton,Home,0,2,-2
Brentford,Away,1,0,1
Leeds United,Home,2,1,1
Crystal Palace,Away,1,1,0
Arsenal,Home,0,0,0
Norwich,Away,0,0,0
Manchester City,Home,1,4,-3
Liverpool,Away,2,2,0
Newcastle United,Home,1,1,0
Aston Villa,Away,0,2,-2
Leicester City,Home,0,0,0
West Ham,Away,1,1,0
Southampton,Away,1,1,0
Wolverhampton,Home,0,1,-1
Brentford,Home,2,0,2
Chelsea,Away,1,1,0
Everton,Away,3,2,1
Crystal Palace,Home,1,1,0
Chelsea,Home,1,1,0
Leeds United,Away,1,1,0
Watford,Away,2,0,2
Manchester United,Away,0,2,-2
Burnley,Home,0,3,-3
Aston Villa,Home,0,2,-2
Newcastle United,Away,1,2,-1
Liverpool,Home,0,2,-2
Tottenham,Home,0,2,-2
Norwich,Home,0,0,0
Arsenal,Away,2,1,1
Tottenham,Away,1,0,1
Manchester City,Away,0,3,-3
Southampton,Home,2,2,0
Wolverhampton,Away,3,0,3
Manchester United,Home,4,0,4
Leicester City,Away,1,1,0
West Ham,Home,3,1,2
