name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Joško Gvardiol,Man City,Burnley,2023-08-11,False,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0.07,0,1.0,0.0,11.0,0.0,6.0,Man City,True,Newcastle United,,0.55
Joško Gvardiol,Man City,Newcastle United,2023-08-19,True,90,0.0,0.0,0.0,0.0,6,0.0,0.0,1.4,0,1,0,0.29,1,3.5,0.0,50.5,0.5,2.0,Man City,False,Sheffield,,-0.61
Joško Gvardiol,Man City,Sheffield,2023-08-27,False,90,0.0,0.0,0.0,0.08,2,0.0,2.0,4.5,0,0,1,0.73,1,3.0,0.0,63.67,0.33,0.0,Man City,True,Fulham,,-0.13
Joško Gvardiol,Man City,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.25,0.0,47.75,0.33,1.0,Man City,False,West Ham,,-0.22
Joško Gvardiol,Man City,West Ham,2023-09-16,False,90,0.0,0.09,0.0,0.39,1,2.0,2.0,5.8,0,0,1,0.94,1,2.0,0.02,56.2,0.25,7.0,Man City,True,Nottingham Forest,,1.55
Joško Gvardiol,Man City,Nottingham Forest,2023-09-23,True,90,0.0,0.0,0.0,0.0,7,0.0,0.0,2.9,1,1,0,1.03,1,3.2,0.02,61.83,0.4,0.0,Man City,False,Wolverhampton,,-0.52
Joško Gvardiol,Man City,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,2.0,0.02,53.0,0.4,2.0,Man City,False,Arsenal,,-0.48
Joško Gvardiol,Man City,Arsenal,2023-10-08,False,90,0.0,0.31,0.0,0.0,2,1.0,0.0,2.8,0,0,1,0.41,1,2.0,0.08,57.62,0.33,2.0,Man City,True,Brighton,,-0.66
Joško Gvardiol,Man City,Brighton,2023-10-21,True,90,0.0,0.03,0.0,0.0,2,1.0,0.0,3.8,0,0,1,0.83,1,2.4,0.08,61.22,0.29,6.0,Man City,False,Manchester United,,-0.63
Joško Gvardiol,Man City,Manchester United,2023-10-29,False,90,0.0,0.0,0.0,0.08,6,0.0,2.0,3.6,0,1,0,1.03,1,3.4,0.07,64.1,0.38,0.0,Man City,True,Bournemouth,,1.22
Joško Gvardiol,Man City,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.0,0.07,58.27,0.38,0.0,Man City,False,Chelsea,,-0.85
Joško Gvardiol,Man City,Chelsea,2023-11-12,False,90,0.0,0.01,0.0,0.0,0,1.0,0.0,3.9,0,0,4,2.96,1,2.0,0.07,60.92,0.33,0.0,Man City,True,Liverpool,,0.18
Joško Gvardiol,Man City,Liverpool,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1.6,0.01,56.23,0.33,0.0,Man City,True,Tottenham,,0.69
Joško Gvardiol,Man City,Tottenham,2023-12-03,True,86,0.0,0.02,0.0,0.0,0,1.0,0.0,1.4,0,0,2,0.38,1,1.2,0.01,58.36,0.3,2.0,Man City,False,Aston Villa,,0.29
Joško Gvardiol,Man City,Aston Villa,2023-12-06,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,3.4,0,0,1,2.04,1,0.4,0.01,60.47,0.27,2.0,Man City,False,Luton,,
Joško Gvardiol,Man City,Luton,2023-12-10,False,68,0.0,0.05,0.0,0.0,2,1.0,0.0,2.0,0,0,1,0.3,1,0.8,0.02,60.94,0.25,1.0,Man City,True,Crystal Palace,,0.88
Joško Gvardiol,Man City,Crystal Palace,2023-12-16,True,90,0.0,0.44,0.0,0.01,1,3.0,1.0,8.4,0,0,2,1.82,1,1.0,0.1,62.65,0.23,1.0,Man City,False,Everton,,-0.24
Joško Gvardiol,Man City,Everton,2023-12-27,False,47,0.0,0.02,0.0,0.08,1,1.0,1.0,2.9,0,0,0,0.3,0,1.2,0.11,61.78,0.21,6.0,Man City,True,Sheffield,,0.68
Joško Gvardiol,Man City,Sheffield,2023-12-30,True,90,0.0,0.0,0.0,0.09,6,0.0,1.0,4.3,0,1,0,0.33,1,2.4,0.1,63.26,0.27,1.0,Man City,False,Newcastle United,,-0.41
Joško Gvardiol,Man City,Newcastle United,2024-01-13,False,90,0.0,0.12,0.0,0.0,1,2.0,0.0,2.5,0,0,2,1.23,1,2.2,0.12,64.6,0.25,2.0,Man City,True,Burnley,,0.39
Joško Gvardiol,Man City,Burnley,2024-01-31,True,90,0.0,0.16,0.0,0.0,2,2.0,0.0,3.1,0,0,1,1.44,1,2.2,0.15,65.81,0.24,2.0,Man City,False,Brentford,,-0.53
Joško Gvardiol,Man City,Brentford,2024-02-05,False,90,0.0,0.11,0.0,0.05,2,3.0,2.0,7.0,0,0,1,1.02,1,2.4,0.08,66.91,0.22,0.0,Man City,True,Everton,,0.53
Joško Gvardiol,Man City,Everton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.2,0.08,64.0,0.22,0.0,Man City,True,Chelsea,,-0.25
Joško Gvardiol,Man City,Chelsea,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.08,61.33,0.22,0.0,Man City,True,Brentford,,0.79
Joško Gvardiol,Man City,Brentford,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.8,0.05,58.88,0.22,0.0,Man City,False,Bournemouth,,0.19
Joško Gvardiol,Man City,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.02,56.62,0.22,0.0,Man City,True,Manchester United,,0.38
