name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Vladimír Coufal,West Ham,Bournemouth,2023-08-12,False,90,0.0,0.0,0.0,0.12,2,0.0,2.0,4.4,0,0,1,1.37,1,21459,2.0,0.0,90.0,0.0,2.0,West Ham,True,Chelsea,,-0.25
Vladimír Coufal,West Ham,Chelsea,2023-08-20,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.5,0,0,1,2.45,1,25454,2.0,0.0,90.0,0.0,2.0,West Ham,False,Brighton,,-0.6
Vladimír Coufal,West Ham,Brighton,2023-08-26,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.5,0,0,1,1.52,1,26182,2.0,0.0,90.0,0.0,2.0,West Ham,False,Luton,,
Vladimír Coufal,West Ham,Luton,2023-09-01,False,90,0.0,0.0,0.0,0.02,2,0.0,1.0,4.4,0,0,1,1.43,1,39308,2.0,0.0,90.0,0.0,4.0,West Ham,True,Manchester City,,-0.96
Vladimír Coufal,West Ham,Manchester City,2023-09-16,True,86,0.0,0.0,1.0,0.48,4,0.0,1.0,5.1,0,0,3,3.63,1,34533,2.4,0.2,89.2,0.0,4.0,West Ham,False,Liverpool,,-1.01
Vladimír Coufal,West Ham,Liverpool,2023-09-24,False,90,0.0,0.0,1.0,0.18,4,0.0,2.0,6.0,0,0,3,3.06,1,36691,2.8,0.4,89.33,0.0,12.0,West Ham,True,Sheffield,,0.68
Vladimír Coufal,West Ham,Sheffield,2023-09-30,True,90,0.0,0.0,1.0,0.56,12,0.0,4.0,9.8,3,1,0,1.07,1,82100,4.8,0.6,89.43,0.14,5.0,West Ham,True,Newcastle United,,0.55
Vladimír Coufal,West Ham,Newcastle United,2023-10-08,True,90,0.0,0.0,1.0,0.06,5,0.0,1.0,3.7,1,0,2,1.95,1,177041,5.4,0.8,89.5,0.12,0.0,West Ham,False,Aston Villa,,0.29
Vladimír Coufal,West Ham,Aston Villa,2023-10-22,False,90,0.0,0.0,0.0,0.02,0,0.0,1.0,2.9,0,0,4,2.02,1,274742,5.0,0.8,89.56,0.11,2.0,West Ham,True,Everton,,0.53
Vladimír Coufal,West Ham,Everton,2023-10-29,True,90,0.0,0.0,0.0,0.01,2,0.0,1.0,3.7,0,0,1,0.82,1,273595,4.6,0.6,89.6,0.1,1.0,West Ham,False,Brentford,,-0.53
Vladimír Coufal,West Ham,Brentford,2023-11-04,False,90,0.0,0.01,0.0,0.03,1,1.0,1.0,4.3,0,0,3,1.4,1,281919,4.0,0.4,89.64,0.09,0.0,West Ham,True,Nottingham Forest,,1.55
Vladimír Coufal,West Ham,Nottingham Forest,2023-11-12,True,90,0.0,0.0,0.0,0.0,0,0.0,0.0,3.1,0,0,2,1.68,1,351342,1.6,0.2,89.67,0.08,1.0,West Ham,False,Burnley,,0.0
Vladimír Coufal,West Ham,Burnley,2023-11-25,False,90,0.0,0.0,0.0,0.04,1,0.0,1.0,3.5,0,0,1,1.27,1,421192,0.8,0.0,89.69,0.08,5.0,West Ham,True,Crystal Palace,,0.88
Vladimír Coufal,West Ham,Crystal Palace,2023-12-03,True,90,0.0,0.0,1.0,0.16,5,0.0,2.0,6.7,1,0,1,0.88,1,371191,1.8,0.2,89.71,0.07,2.0,West Ham,False,Tottenham,,-0.36
Vladimír Coufal,West Ham,Tottenham,2023-12-07,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.5,0,0,1,1.74,1,359701,1.8,0.2,89.73,0.07,0.0,West Ham,False,Fulham,,0.86
Vladimír Coufal,West Ham,Fulham,2023-12-10,False,90,0.0,0.0,0.0,0.44,0,0.0,2.0,4.1,0,0,5,2.34,1,370044,1.6,0.2,89.75,0.06,5.0,West Ham,True,Wolverhampton,,0.05
Vladimír Coufal,West Ham,Wolverhampton,2023-12-17,True,90,0.0,0.02,0.0,0.03,5,1.0,1.0,3.8,0,1,0,0.64,1,355062,2.6,0.2,89.76,0.12,7.0,West Ham,True,Manchester United,,0.38
Vladimír Coufal,West Ham,Manchester United,2023-12-23,True,90,0.0,0.0,0.0,0.0,7,0.0,0.0,2.1,1,1,0,0.91,1,345681,3.8,0.2,89.78,0.17,6.0,West Ham,False,Arsenal,,-0.48
Vladimír Coufal,West Ham,Arsenal,2023-12-28,False,90,0.0,0.0,0.0,0.0,6,0.0,0.0,1.6,0,1,0,2.68,1,353944,4.0,0.0,89.79,0.21,0.0,West Ham,True,Brighton,,-0.66
Vladimír Coufal,West Ham,Brighton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,431174,3.6,0.0,85.3,0.21,-2.0,West Ham,False,Sheffield,,-0.61
Vladimír Coufal,West Ham,Sheffield,2024-01-21,False,90,0.0,0.0,0.0,0.11,-2,0.0,1.0,2.3,0,0,2,3.02,1,411011,3.2,0.0,85.52,0.2,0.0,West Ham,True,Bournemouth,,1.22
Vladimír Coufal,West Ham,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,318000,2.2,0.0,81.64,0.2,1.0,West Ham,False,Manchester United,,-0.63
Vladimír Coufal,West Ham,Manchester United,2024-02-04,False,71,0.0,0.0,0.0,0.04,1,0.0,1.0,3.2,0,0,2,0.54,1,287335,1.0,0.0,81.17,0.19,-1.0,West Ham,True,Arsenal,,-0.11
Vladimír Coufal,West Ham,Arsenal,2024-02-11,True,90,0.0,0.0,0.0,0.0,-1,0.0,0.0,1.7,0,0,6,3.66,1,268838,-0.4,0.0,81.54,0.18,1.0,West Ham,False,Nottingham Forest,,-0.55
Vladimír Coufal,West Ham,Nottingham Forest,2024-02-17,False,75,0.0,0.0,0.0,0.0,1,0.0,0.0,0.8,0,0,1,1.62,1,242389,-0.2,0.0,81.28,0.17,5.0,West Ham,True,Brentford,,0.79
Vladimír Coufal,West Ham,Brentford,2024-02-26,True,90,0.0,0.0,1.0,0.69,5,0.0,3.0,8.2,1,0,2,1.12,1,244243,1.2,0.2,81.62,0.17,2.0,West Ham,False,Everton,,-0.24
Vladimír Coufal,West Ham,Everton,2024-03-02,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.7,0,0,1,2.73,1,251286,1.6,0.2,81.93,0.16,1.0,West Ham,True,Burnley,,0.39
Vladimír Coufal,West Ham,Burnley,2024-03-10,True,90,0.0,0.0,0.0,0.06,1,0.0,2.0,4.7,0,0,2,0.65,1,278292,1.6,0.2,82.21,0.15,7.0,West Ham,True,Aston Villa,,0.64
Vladimír Coufal,West Ham,Aston Villa,2024-03-17,True,90,0.0,0.13,1.0,0.42,7,2.0,1.0,6.8,2,0,1,0.63,1,743559,3.2,0.43,82.48,0.15,0.0,West Ham,False,Newcastle United,,-0.41
Vladimír Coufal,West Ham,Newcastle United,2024-03-30,False,90,0.0,0.0,0.0,0.05,0,0.0,1.0,1.3,0,0,4,4.07,1,305422,3.0,0.43,82.73,0.14,2.0,West Ham,True,Tottenham,,0.69
Vladimír Coufal,West Ham,Tottenham,2024-04-02,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.1,0,0,1,0.96,1,292321,2.4,0.23,82.97,0.14,1.0,West Ham,False,Wolverhampton,,-0.52
Vladimír Coufal,West Ham,Wolverhampton,2024-04-06,False,45,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,1,1.45,1,292115,2.2,0.23,81.78,0.13,2.0,West Ham,True,Fulham,,-0.13
Vladimír Coufal,West Ham,Fulham,2024-04-14,True,68,0.0,0.06,0.0,0.0,2,1.0,0.0,1.4,0,0,1,1.93,1,285564,2.4,0.24,81.36,0.13,0.0,West Ham,False,Crystal Palace,,0.38
Vladimír Coufal,West Ham,Crystal Palace,2024-04-21,False,90,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9,0,0,5,2.47,1,261138,1.0,0.01,81.62,0.12,1.0,West Ham,True,Liverpool,,0.18
Vladimír Coufal,West Ham,Liverpool,2024-04-27,True,90,0.0,0.05,0.0,0.0,1,2.0,0.0,3.8,0,0,2,1.75,1,248962,1.2,0.02,81.86,0.12,0.0,West Ham,False,Chelsea,,-0.85
Vladimír Coufal,West Ham,Chelsea,2024-05-05,False,90,0.0,0.0,0.0,0.02,0,0.0,1.0,2.6,0,0,5,4.13,1,238706,0.8,0.02,82.08,0.12,2.0,West Ham,True,Luton,,
Vladimír Coufal,West Ham,Luton,2024-05-11,True,90,0.0,0.01,0.0,0.77,2,1.0,3.0,7.1,0,0,1,0.42,1,224831,1.0,0.02,82.3,0.11,1.0,West Ham,False,Manchester City,,-1.32
Vladimír Coufal,West Ham,Manchester City,2024-05-19,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.9,0,0,3,2.01,1,212498,0.8,0.01,82.5,0.11,1.0,West Ham,True,Aston Villa,,0.64
