name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points
Matt Turner,Nott'm Forest,Arsenal,2023-08-12,False,90,2,0.83,5,0,2,0,False,0,True,0.0,0.0,0,0.0,0,2
Matt Turner,Nott'm Forest,Liverpool,2023-10-29,False,90,3,2.95,5,0,2,0,False,0,True,2.0,0.0,0,0.0,0,3
Matt Turner,Nott'm Forest,Wolverhampton,2023-12-09,False,90,1,1.17,3,0,3,0,False,0,True,2.0,0.0,0,0.0,0,2
Matt Turner,Nott'm Forest,Tottenham,2023-12-15,True,90,2,1.53,4,0,2,0,False,0,True,2.33,0.0,0,0.0,0,2
Matt Turner,Nott'm Forest,Bournemouth,2023-12-23,True,90,3,1.57,3,0,2,0,False,0,True,2.25,0.0,0,0.0,0,3
Matt Turner,Nott'm Forest,Newcastle United,2023-12-26,False,90,1,2.43,5,0,3,0,False,0,True,2.2,0.0,0,0.0,0,2
Matt Turner,Nott'm Forest,Sheffield,2023-08-18,True,90,1,0.51,2,0,2,0,False,0,True,2.4,0.0,0,0.0,0,3
Matt Turner,Nott'm Forest,Manchester United,2023-12-30,True,90,1,0.77,4,0,3,0,False,0,True,2.4,0.0,0,0.0,0,1
Matt Turner,Nott'm Forest,Brentford,2024-01-20,False,90,3,1.29,2,0,1,0,False,0,True,2.4,0.0,0,0.0,0,1
Matt Turner,Nott'm Forest,Arsenal,2024-01-30,True,90,2,1.23,2,0,1,0,False,0,True,2.2,0.0,0,0.0,0,3
Matt Turner,Nott'm Forest,Manchester United,2023-08-26,False,90,3,2.91,7,0,3,0,False,0,True,2.0,0.0,0,0.0,0,5
Matt Turner,Nott'm Forest,Chelsea,2023-09-02,False,90,0,2.13,2,0,5,0,True,0,True,2.0,0.08,0,0.0,0,2
Matt Turner,Nott'm Forest,Burnley,2023-09-18,True,90,1,0.56,2,0,2,0,False,0,True,2.6,0.08,0,0.0,0,1
Matt Turner,Nott'm Forest,Manchester City,2023-09-23,False,90,2,1.33,2,0,1,0,False,0,True,2.4,0.07,0,0.0,0,3
Matt Turner,Nott'm Forest,Brentford,2023-10-01,True,90,1,1.7,3,0,3,0,False,0,True,2.4,0.07,0,0.0,0,6
Matt Turner,Nott'm Forest,Crystal Palace,2023-10-07,False,90,0,0.81,2,0,6,0,True,0,True,2.8,0.12,0,0.0,0,1
Matt Turner,Nott'm Forest,Luton,2023-10-21,True,90,2,1.71,2,0,1,0,False,0,True,3.4,0.12,0,0.0,0,
