name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
David Raya Martin,Brentford,Tottenham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,30.84,0.32,154,6.0,Arsenal,True,Sheffield,
David Raya Martin,Arsenal,Sheffield,2023-10-28,True,90,0,0.03,0,0,6,0,True,0.0,True,0.0,1.0,0.0,0,30.84,0.32,154,2.0,Arsenal,False,Newcastle United,-0.61
David Raya Martin,Arsenal,Newcastle United,2023-11-04,False,90,1,1.09,0,0,2,0,False,0.0,True,3.0,0.5,0.0,0,30.84,0.32,154,3.0,Arsenal,True,Burnley,0.55
David Raya Martin,Arsenal,Burnley,2023-11-11,True,90,1,0.3,4,0,3,0,False,0.0,True,2.67,0.33,1.0,0,30.84,0.32,154,0.0,Arsenal,False,Brentford,-0.38
David Raya Martin,Arsenal,Brentford,,False,0,0,0.0,0,0,0,0,False,,False,2.75,0.33,0.8,0,30.84,0.32,154,2.0,Arsenal,True,Wolverhampton,-3.77
David Raya Martin,Arsenal,Wolverhampton,2023-12-02,True,90,1,0.71,2,0,2,0,False,0.0,True,2.2,0.25,1.0,0,30.84,0.32,154,1.0,Arsenal,False,Luton,
David Raya Martin,Arsenal,Luton,2023-12-05,False,90,3,0.5,1,0,1,0,False,0.0,True,2.6,0.2,1.0,0,30.84,0.32,154,2.0,Arsenal,False,Aston Villa,-1.92
David Raya Martin,Arsenal,Aston Villa,2023-12-09,False,90,1,0.51,2,0,2,0,False,0.0,True,1.6,0.17,1.12,0,30.84,0.32,154,6.0,Arsenal,True,Brighton,2.17
David Raya Martin,Arsenal,Brighton,2023-12-17,True,90,0,0.69,1,0,6,0,True,0.0,True,1.6,0.29,1.11,0,30.84,0.32,154,2.0,Arsenal,False,Liverpool,1.55
David Raya Martin,Arsenal,Liverpool,2023-12-23,False,90,1,0.95,2,0,2,0,False,0.0,True,2.2,0.25,1.2,0,30.84,0.32,154,6.0,Arsenal,True,West Ham,-1.81
David Raya Martin,Arsenal,West Ham,2023-12-28,True,90,2,1.48,1,1,6,0,False,0.0,True,2.6,0.22,1.18,0,30.84,0.32,154,0.0,Arsenal,False,Crystal Palace,0.57
David Raya Martin,Arsenal,Crystal Palace,,False,0,0,0.0,0,0,0,0,False,,False,3.4,0.22,1.08,0,30.84,0.32,154,1.0,Arsenal,False,Fulham,-4.27
David Raya Martin,Arsenal,Fulham,2023-12-31,False,90,2,1.34,2,0,1,0,False,0.0,True,3.2,0.2,1.15,0,30.84,0.32,154,8.0,Arsenal,True,Crystal Palace,-1.66
David Raya Martin,Arsenal,Crystal Palace,2024-01-20,True,90,0,0.33,5,0,8,1,True,0.0,True,3.0,0.27,1.43,0,30.84,0.32,154,2.0,Arsenal,False,Nottingham Forest,3.11
David Raya Martin,Arsenal,Nottingham Forest,2024-01-30,False,90,1,0.4,2,0,2,0,False,0.0,True,3.4,0.25,1.47,0,30.84,0.32,154,2.0,Arsenal,True,Liverpool,-0.82
David Raya Martin,Arsenal,Liverpool,2024-02-04,True,90,1,0.41,1,0,2,0,False,0.0,True,3.4,0.23,1.44,0,30.84,0.32,154,6.0,Arsenal,False,West Ham,-0.66
David Raya Martin,Arsenal,West Ham,2024-02-11,False,90,0,0.21,1,0,6,0,True,0.0,True,2.6,0.29,1.41,0,30.84,0.32,154,6.0,Arsenal,False,Burnley,-1.51
David Raya Martin,Arsenal,Burnley,2024-02-17,False,90,0,0.26,0,0,6,0,True,0.0,True,3.8,0.33,1.33,0,30.84,0.32,154,2.0,Arsenal,True,Newcastle United,-1.37
David Raya Martin,Arsenal,Newcastle United,2024-02-24,True,90,1,0.16,1,0,2,0,False,0.0,True,4.8,0.31,1.32,0,30.84,0.32,154,6.0,Arsenal,False,Sheffield,
David Raya Martin,Arsenal,Sheffield,2024-03-04,False,90,0,0.23,0,0,6,0,True,0.0,True,3.6,0.35,1.25,0,30.84,0.32,154,0.0,Arsenal,True,Brentford,-0.34
