h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
a,2.16287,0.126327,2.16287,0.126327,21.928571428571427,32.69230769230769,11,0,3,0,2.8937,w,2020-09-12 11:30:00,1,0,0,3,2.036543,0.75,0.0,0.5168196050273564,0.0,0.5471435206688343,1.0,0.6666666666666666,0.0
h,1.32902,2.06377,1.32902,2.06377,12.764705882352942,18.26086956521739,16,4,2,1,0.8155,w,2020-09-19 19:00:00,1,0,0,3,-0.7347499999999998,0.5,0.3333333333333333,0.30152855740152207,0.7417432455351485,0.24920084150706273,0.4452073111776262,1.0,0.25
a,1.17817,2.73834,1.17817,2.73834,35.857142857142854,8.827586206896552,3,11,1,3,0.3972,l,2020-09-28 19:15:00,0,0,1,0,-1.56017,0.25,1.0,0.26258071961971824,1.0,1.0,0.08256038765571083,0.13333333333333333,0.6875
h,0.667131,0.144994,0.667131,0.144994,13.916666666666666,19.347826086956523,4,3,2,1,1.8925,w,2020-10-04 13:00:00,1,0,0,3,0.5221370000000001,0.5,0.3333333333333333,0.1306359793335053,0.007146595365337008,0.2866542808484286,0.48699355077606693,0.2,0.1875
a,0.838322,1.43023,0.838322,1.43023,20.352941176470587,13.521739130434783,3,7,0,1,0.8435999999999999,l,2020-10-17 16:30:00,0,0,1,0,-0.5919079999999999,0.0,0.3333333333333333,0.17483564322283093,0.49919468241543963,0.49591541214720913,0.2630193065284249,0.13333333333333333,0.4375
h,0.73944,0.736172,0.73944,0.736172,11.0,26.214285714285715,5,2,0,1,1.2724,l,2020-10-25 19:15:00,0,0,1,0,0.0032679999999999,0.0,0.3333333333333333,0.149305380739965,0.2334770156197538,0.19182535996284258,0.7509631957822164,0.26666666666666666,0.125
a,0.998072,0.394113,0.236903,0.394113,11.851851851851851,17.647058823529413,7,10,1,0,2.0624,w,2020-11-01 16:30:00,1,0,0,3,-0.15721,0.25,0.0,0.21608136470538417,0.10252092926030612,0.21952142574529943,0.4216103758749774,0.4,0.625
h,1.39037,1.98553,1.39037,1.98553,11.266666666666667,13.791666666666666,6,16,0,3,0.9461,l,2020-11-08 19:15:00,0,0,1,0,-0.5951599999999999,0.0,1.0,0.3173684635859017,0.7117893364236701,0.20049543272952478,0.273396222695371,0.3333333333333333,1.0
a,0.710778,1.9617,0.710778,1.9617,15.6,6.884615384615385,4,11,0,0,0.5177,d,2020-11-22 16:30:00,0,1,0,1,-1.250922,0.0,0.0,0.14190516246683235,0.7026661046480243,0.3413841151881097,0.007866098888100333,0.2,0.6875
h,1.1185,2.0069,1.1185,2.0069,8.035714285714286,17.642857142857142,12,6,1,2,0.6944,l,2020-11-29 19:15:00,0,0,1,0,-0.8883999999999999,0.25,0.6666666666666666,0.24717457125750264,0.7199707658422833,0.09544821179749192,0.4214488492345128,0.7333333333333333,0.375
a,0.595216,0.390629,0.595216,0.390629,5.1,19.75,11,1,0,2,1.4879,l,2020-12-06 16:30:00,0,0,1,0,0.2045869999999999,0.0,0.6666666666666666,0.11206830446391017,0.10118709210099644,0.0,0.5024544594274899,0.6666666666666666,0.0625
