h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
a,1.58144,2.59001,1.58144,2.59001,17.4,14.826086956521738,6,7,1,0,0.6909,w,2023-08-12 14:00:00,1,0,0,3,-1.00857,0.2,0.0,0.42343303676593325,0.5839800860498178,0.25173010380622834,0.26469762575178857,0.35714285714285715,0.30434782608695654
h,0.399899,3.46888,0.399899,2.70772,10.478260869565217,12.789473684210526,8,13,0,3,0.0434,l,2023-08-19 14:00:00,0,0,1,0,-2.307821,0.0,0.6,0.0882921612234047,0.8004147590385923,0.10203851361516472,0.20253529538971668,0.5,0.5652173913043478
a,0.849817,3.23088,0.849817,2.46971,35.55555555555556,8.0,2,22,2,2,0.1577,d,2023-08-26 14:00:00,0,1,0,1,-1.619893,0.4,0.4,0.21591017231429652,0.7418037560787367,0.6443675509419454,0.056349051066327524,0.07142857142857142,0.9565217391304348
a,1.46427,2.00152,1.46427,1.24035,24.5,7.964285714285714,4,8,1,5,0.8146,l,2023-09-02 14:00:00,0,0,1,0,0.2239199999999999,0.2,1.0,0.39019808648717186,0.4390557619664337,0.40527681660899656,0.05525896525700869,0.21428571428571427,0.34782608695652173
h,1.75704,1.45705,1.75704,1.45705,6.611111111111111,38.916666666666664,9,3,1,0,1.5918,w,2023-09-16 14:00:00,1,0,0,3,0.29999,0.2,0.0,0.4732414968576847,0.3049720107834395,0.018406382160707415,1.0,0.5714285714285714,0.13043478260869565
a,0.542678,0.37236,0.542678,0.37236,9.166666666666666,14.055555555555555,9,3,0,0,1.4282,d,2023-09-23 14:00:00,0,1,0,1,0.1703179999999999,0.0,0.0,0.12879103436372458,0.037851133470305776,0.07367358708189158,0.24117915606861018,0.5714285714285714,0.13043478260869565
h,0.889383,1.98461,0.889383,1.98461,10.551724137931034,14.44,7,8,0,2,0.554,l,2023-10-02 19:00:00,0,0,1,0,-1.095227,0.0,0.4,0.22713296008189465,0.43489142557966404,0.10362725211788568,0.2529133242027,0.42857142857142855,0.34782608695652173
h,2.26612,0.251809,2.26612,0.251809,6.222222222222222,10.521739130434783,9,0,3,1,2.7355,w,2023-10-07 14:00:00,1,0,0,3,2.0143109999999997,0.6,0.2,0.6176406475610378,0.008163675412265611,0.009996155324875054,0.13331858821127493,0.5714285714285714,0.0
a,0.745838,1.63523,0.745838,1.63523,13.678571428571429,12.347826086956522,5,13,0,2,0.6673,l,2023-10-23 19:00:00,0,0,1,0,-0.889392,0.0,0.4,0.1864168131350242,0.34885145829346925,0.1712493821057835,0.18905514959209888,0.2857142857142857,0.5652173913043478
a,0.552523,1.31996,0.552523,1.31996,19.655172413793103,7.625,9,8,1,1,0.7293,d,2023-10-29 14:00:00,0,1,0,1,-0.767437,0.2,0.2,0.1315835417077069,0.27121158054912603,0.3005011335162868,0.04490315006847974,0.5714285714285714,0.34782608695652173
