h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
a,2.34111,1.26822,2.34111,0.507047,6.333333333333333,18.473684210526315,11,4,2,2,2.2058999999999997,d,2022-08-06 11:30:00,0,1,0,1,1.834063,0.2222222222222222,0.5,0.45917387932031994,0.3839846099456848,0.14647036617591544,0.30514425449813787,0.47058823529411764,0.2222222222222222
h,2.23596,1.64468,2.23596,1.64468,3.4146341463414633,41.27272727272727,20,2,1,1,1.7697,d,2022-08-15 19:00:00,0,1,0,1,0.59128,0.1111111111111111,0.25,0.4366004577370375,0.516941738811961,0.0340855730188106,1.0,1.0,0.1111111111111111
a,1.52301,2.01764,1.52301,2.01764,6.578947368421052,17.7,16,8,1,2,1.0188,l,2022-08-22 19:00:00,0,0,1,0,-0.4946300000000001,0.1111111111111111,0.5,0.28354557501900435,0.6486627471049173,0.15592775824044824,0.2815643648763853,0.7647058823529411,0.4444444444444444
h,4.86035,0.180991,4.86035,0.180991,8.88888888888889,29.583333333333332,18,4,9,0,2.9969,w,2022-08-27 14:00:00,1,0,0,3,4.679359000000001,1.0,0.0,1.0,0.0,0.24487227884736382,0.6437375674907643,0.8823529411764706,0.2222222222222222
h,1.76119,0.643546,1.76119,0.643546,9.916666666666666,21.235294117647058,13,2,2,1,2.2571,w,2022-08-31 19:00:00,1,0,0,3,1.117644,0.2222222222222222,0.25,0.334677648748973,0.16336392908340952,0.2844469611174028,0.38931096735369336,0.5882352941176471,0.1111111111111111
a,1.38617,1.39169,1.38617,1.39169,6.083333333333333,23.09090909090909,12,10,0,0,1.3394,d,2022-09-03 11:30:00,0,1,0,1,-0.0055200000000001,0.0,0.0,0.2541689986095287,0.42759141199934025,0.13684409211023027,0.44586530264279617,0.5294117647058824,0.5555555555555556
h,2.1515,2.36567,2.1515,2.36567,12.95,17.333333333333332,13,7,3,3,1.2212,d,2022-10-01 14:00:00,0,1,0,1,-0.2141700000000002,0.3333333333333333,0.75,0.4184687298537847,0.7715790451427702,0.40124575311438276,0.27038931514634834,0.5882352941176471,0.3888888888888889
a,0.765151,2.81968,0.765151,2.05851,10.875,16.764705882352942,4,14,2,3,0.1379,l,2022-10-09 15:30:00,0,0,1,0,-1.293359,0.2222222222222222,0.75,0.12084970523598189,0.931925074140746,0.3213476783691959,0.25305902412115744,0.058823529411764705,0.7777777777777778
h,1.9992,0.911493,1.9992,0.911493,28.5,12.578947368421053,6,17,1,0,2.1733,w,2022-10-16 15:30:00,1,0,0,3,1.087707,0.1111111111111111,0.0,0.38577322717062823,0.2579967288717857,1.0,0.12548795261811818,0.17647058823529413,0.9444444444444444
h,2.24066,2.48649,2.24066,1.72532,12.76,26.714285714285715,8,4,1,0,1.1908,w,2022-10-19 18:30:00,1,0,0,3,0.5153400000000001,0.1111111111111111,0.0,0.437609445672762,0.814249927333769,0.39392978482446206,0.5562964316161247,0.29411764705882354,0.2222222222222222
a,2.19752,2.50163,2.19752,2.50163,5.45,24.8,13,6,0,1,1.1612,l,2022-10-22 11:30:00,0,0,1,0,-0.3041100000000001,0.0,0.25,0.4283482244925166,0.8195970317566439,0.11245753114382788,0.4979539641943733,0.5882352941176471,0.3333333333333333
h,1.90889,1.61271,1.90889,1.61271,10.916666666666666,29.285714285714285,14,6,1,2,1.5762,l,2022-10-29 18:45:00,0,0,1,0,0.2961799999999999,0.1111111111111111,0.5,0.3663856313248247,0.5056506603179515,0.32295205738014343,0.6346669102423578,0.6470588235294118,0.3333333333333333
a,1.46548,1.81736,1.46548,1.81736,17.058823529411764,15.458333333333334,7,4,2,1,1.1415,w,2022-11-06 16:30:00,1,0,0,3,-0.3518800000000002,0.2222222222222222,0.25,0.2711951333291685,0.5779283961264926,0.5594563986409966,0.21324417448138674,0.23529411764705882,0.2222222222222222
h,2.74418,1.43427,2.74418,1.43427,20.0,21.8,10,9,3,1,2.2507,w,2022-11-12 15:00:00,1,0,0,3,1.30991,0.3333333333333333,0.25,0.5457042553314815,0.44262970171704213,0.6727066817667045,0.40652173913043477,0.4117647058823529,0.5
a,3.50694,1.69155,3.50694,1.69155,12.318181818181818,30.0,8,5,3,1,2.4625000000000004,w,2022-12-26 17:30:00,1,0,0,3,1.81539,0.3333333333333333,0.25,0.7094522633853519,0.5334951591752463,0.3769175332029239,0.6564364876385337,0.29411764705882354,0.2777777777777778
h,2.02463,0.863312,2.02463,0.863312,14.65,22.0625,6,3,2,1,2.1905,w,2022-12-30 20:00:00,1,0,0,3,1.161318,0.2222222222222222,0.25,0.39123249593775017,0.2409802930594655,0.46670441676104196,0.4145220588235294,0.17647058823529413,0.16666666666666666
a,2.10461,2.0991,2.10461,2.0991,4.777777777777778,16.11764705882353,19,0,1,3,1.3323999999999998,l,2023-01-02 17:30:00,0,0,1,0,0.0055100000000001,0.1111111111111111,0.75,0.40840246510780176,0.6774325705056686,0.08657354976720776,0.23333834812697454,0.9411764705882353,0.0
a,1.28853,2.40062,1.28853,2.40062,15.481481481481481,13.0,5,13,0,3,0.6101000000000001,l,2023-01-14 15:00:00,0,0,1,0,-1.11209,0.0,0.75,0.23320781094056348,0.7839225920106349,0.4987206912461726,0.13832054560954815,0.11764705882352941,0.7222222222222222
h,1.30125,1.84467,1.30125,1.84467,10.5625,9.814814814814815,7,7,0,0,0.9706,d,2023-01-21 12:30:00,0,1,0,1,-0.54342,0.0,0.0,0.23593851871554544,0.5875736683714535,0.3093148357870895,0.04124435603548988,0.23529411764705882,0.3888888888888889
a,1.30193,2.63328,1.30193,2.63328,11.7,27.818181818181817,14,5,0,3,0.5375,l,2023-02-04 15:00:00,0,0,1,0,-1.33135,0.0,0.75,0.2360844999487992,0.866092824178801,0.35311438278595697,0.5899403239556691,0.6470588235294118,0.2777777777777778
h,2.23291,0.402331,2.23291,0.402331,10.916666666666666,14.407407407407407,7,3,2,0,2.6658999999999997,w,2023-02-13 20:00:00,1,0,0,3,1.830579,0.2222222222222222,0.0,0.4359456889702376,0.07817226505674323,0.32295205738014343,0.1812146758864576,0.23529411764705882,0.16666666666666666
a,2.16549,1.74852,2.16549,1.74852,7.076923076923077,41.2,7,5,2,0,1.6645,w,2023-02-18 17:30:00,1,0,0,3,0.41697,0.2222222222222222,0.0,0.4214720790496965,0.5536156703358257,0.17510236083282515,0.9977834612105713,0.23529411764705882,0.2777777777777778
a,1.35123,0.989086,1.35123,0.989086,8.31578947368421,18.681818181818183,5,1,0,0,1.6729,d,2023-02-25 19:45:00,0,1,0,1,0.3621439999999999,0.0,0.0,0.2466681393596962,0.285400815627672,0.22280503069678728,0.31148763853367434,0.11764705882352941,0.05555555555555555
h,2.70191,0.78681,2.70191,0.78681,7.628571428571429,8.461538461538462,11,4,2,0,2.6342999999999996,w,2023-03-01 20:00:00,1,0,0,3,1.9151,0.2222222222222222,0.0,0.5366298042584872,0.21396152274514832,0.19634363371622718,0.0,0.47058823529411764,0.2222222222222222
h,3.44269,0.837542,3.44269,0.837542,5.956521739130435,13.210526315789474,14,3,7,0,2.776,w,2023-03-05 16:30:00,1,0,0,3,2.605148,0.7777777777777778,0.0,0.6956591836257143,0.23187891386676526,0.13196119946821608,0.14473684210526316,0.6470588235294118,0.16666666666666666
