h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
h,0.422704,2.27616,0.422704,2.27616,14.181818181818182,4.391304347826087,2,9,0,1,0.2253,l,2023-08-12 14:00:00,0,0,1,0,-1.853456,0.0,0.125,0.1099105485696591,0.3825149992009002,0.03612450507663961,0.08519269776876268,0.15384615384615385,0.3157894736842105
a,0.551038,1.37181,0.551038,1.37181,12.526315789473685,15.866666666666667,4,6,1,2,0.6533,l,2023-08-18 18:45:00,0,0,1,0,-0.820772,0.3333333333333333,0.25,0.14566092340342765,0.18533467672216905,0.027200925988969837,0.6205544286680189,0.3076923076923077,0.15789473684210525
h,0.762232,3.84804,0.762232,3.08687,36.90909090909091,6.571428571428571,3,22,1,2,0.074,l,2023-08-27 13:00:00,0,0,1,0,-2.324638,0.3333333333333333,0.25,0.2044938489153179,0.7252404985074387,0.1586302873495629,0.18690234714575485,0.23076923076923078,1.0
h,1.575,2.73871,1.575,2.73871,12.8,8.653846153846153,5,3,2,2,0.5813999999999999,d,2023-09-02 11:30:00,0,1,0,1,-1.1637100000000002,0.6666666666666666,0.25,0.43090898950855455,0.4833672778126514,0.02867615351444588,0.28405367452020597,0.38461538461538464,0.0
a,0.790655,2.15909,0.790655,2.15909,14.571428571428571,4.75,4,21,1,2,0.4917999999999999,l,2023-09-16 14:00:00,0,0,1,0,-1.3684349999999998,0.3333333333333333,0.25,0.21241172651517612,0.3569895938240162,0.0382246042013183,0.10192697768762678,0.3076923076923077,0.9473684210526315
h,0.579392,5.1082,0.579392,5.1082,14.92,8.733333333333333,5,11,0,8,0.018,l,2023-09-24 15:30:00,0,0,1,0,-4.528808,0.0,1.0,0.15355957947303256,1.0,0.04010349288486416,0.287762001352265,0.38461538461538464,0.42105263157894735
a,0.911997,3.19753,0.911997,3.19753,21.266666666666666,14.125,5,16,0,2,0.2135,l,2023-09-30 14:00:00,0,0,1,0,-2.285533,0.0,0.25,0.2462143196166079,0.5834062843473906,0.07431364093718555,0.5393002028397565,0.38461538461538464,0.6842105263157895
a,0.251809,2.26612,0.251809,2.26612,10.521739130434783,6.222222222222222,0,9,1,3,0.1633,l,2023-10-07 14:00:00,0,0,1,0,-2.0143109999999997,0.3333333333333333,0.375,0.06230383244441649,0.38032592369065915,0.016395747792339276,0.17061077304485014,0.0,0.3157894736842105
h,1.41074,1.46187,0.649567,1.46187,14.095238095238095,12.272727272727273,7,7,1,2,1.3211,l,2023-10-21 19:00:00,0,0,1,0,-0.812303,0.3333333333333333,0.25,0.38515060458955547,0.20497094569152222,0.03565781638226657,0.45288585653697216,0.5384615384615384,0.21052631578947367
a,0.0281554,3.03496,0.0281554,2.27379,30.923076923076923,11.9375,1,9,0,5,0.0162,l,2023-10-28 14:00:00,0,0,1,0,-2.2456346,0.0,0.625,0.0,0.5479602678434182,0.12636414900321755,0.4372464503042596,0.07692307692307693,0.3157894736842105
h,1.10165,1.14803,0.340518,1.14803,9.6875,24.0,3,4,2,1,1.276,w,2023-11-04 15:00:00,1,0,0,3,-0.8075120000000001,0.6666666666666666,0.125,0.29904650624173235,0.13654271280964575,0.011898986632169036,1.0,0.23076923076923078,0.05263157894736842
a,0.84434,1.08601,0.84434,1.08601,12.515151515151516,12.5625,13,4,1,1,1.1143,d,2023-11-12 14:00:00,0,1,0,1,-0.2416699999999999,0.3333333333333333,0.125,0.22736691277096854,0.12302015671949156,0.027140747709958574,0.4664046653144016,1.0,0.05263157894736842
h,0.816227,3.13975,0.816227,3.13975,10.576923076923077,17.545454545454547,7,7,1,3,0.2165,l,2023-11-25 15:00:00,0,0,1,0,-2.323523,0.3333333333333333,0.375,0.2195353927707992,0.5708081983930354,0.01669320330381132,0.6988751613498064,0.5384615384615384,0.21052631578947367
a,0.618131,2.60469,0.618131,2.60469,15.277777777777779,11.411764705882353,3,13,0,5,0.2195,l,2023-12-02 15:00:00,0,0,1,0,-1.986559,0.0,0.625,0.16435121513221376,0.4541461722466652,0.04203200613291169,0.4127192459133755,0.23076923076923078,0.5263157894736842
h,0.834172,1.80116,0.834172,1.80116,25.928571428571427,3.1666666666666665,2,14,0,2,0.6531,l,2023-12-06 19:30:00,0,0,1,0,-0.966988,0.0,0.25,0.22453438350117444,0.2789481797422866,0.09944249368570195,0.02805949966193374,0.15384615384615385,0.5789473684210527
h,0.841976,0.644638,0.841976,0.644638,12.181818181818182,7.35,6,7,1,0,1.5383,w,2023-12-09 15:00:00,1,0,0,3,0.1973379999999999,0.3333333333333333,0.0,0.22670836643011555,0.02678543200772894,0.025343996236622365,0.22322515212981744,0.46153846153846156,0.21052631578947367
a,0.44014,3.27322,0.44014,3.27322,21.40909090909091,3.740740740740741,3,13,0,2,0.0555,l,2023-12-16 15:00:00,0,0,1,0,-2.83308,0.0,0.25,0.11476774569280329,0.5999093844838589,0.07508134383942922,0.0548418601156938,0.23076923076923078,0.5263157894736842
