h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
h,1.6172,0.386546,1.6172,0.386546,5.7,15.545454545454545,12,7,4,1,2.3215,w,2022-08-06 14:00:00,1,0,0,3,1.230654,0.6666666666666666,0.16666666666666666,0.4968672454663615,0.0333773027894685,0.0,0.4340959708443005,0.7333333333333333,0.4666666666666667
a,1.58708,1.83945,1.58708,1.83945,12.285714285714286,6.655172413793103,2,12,2,2,1.1907,d,2022-08-14 15:30:00,0,1,0,1,-0.25237,0.3333333333333333,0.3333333333333333,0.4825845592401915,0.42362408774122434,0.2988977739355954,0.03809231241840104,0.06666666666666667,0.8
h,1.46608,0.686123,1.46608,0.686123,11.6,20.642857142857142,8,6,1,0,2.0355,w,2022-08-20 11:30:00,1,0,0,3,0.779957,0.16666666666666666,0.0,0.42520723409521893,0.11384301910347973,0.2677760968229954,0.661151765828826,0.4666666666666667,0.4
a,2.44473,0.801369,1.68356,0.801369,15.11111111111111,9.724137931034482,6,11,2,0,2.4975,w,2022-08-28 15:30:00,1,0,0,3,0.882191,0.3333333333333333,0.0,0.8892759882532967,0.14479783853996694,0.427130610186586,0.17479456262959833,0.3333333333333333,0.7333333333333333
a,0.723285,1.52267,0.723285,1.52267,18.9,28.25,6,3,1,1,0.7243,d,2022-08-31 18:45:00,0,1,0,1,-0.799385,0.16666666666666666,0.16666666666666666,0.07297921565670719,0.33853768386525096,0.5990922844175491,1.0,0.3333333333333333,0.2
h,2.67823,0.381556,2.67823,0.381556,12.052631578947368,16.22222222222222,16,1,2,1,2.8029,w,2022-09-03 14:00:00,1,0,0,3,2.2966740000000003,0.3333333333333333,0.16666666666666666,1.0,0.03203699988101119,0.2883191336889879,0.4642415243751546,1.0,0.06666666666666667
h,1.98619,1.59449,1.98619,0.833326,21.214285714285715,17.11111111111111,6,10,6,2,1.6507,w,2022-09-17 16:30:00,1,0,0,3,1.152864,1.0,0.3333333333333333,0.6718396355923403,0.3578283762270554,0.704127944672574,0.5038356842365751,0.3333333333333333,0.6666666666666666
a,1.5027,2.48403,0.741526,2.48403,18.46153846153846,10.38888888888889,2,12,1,3,0.6607,l,2022-10-01 11:30:00,0,0,1,0,-1.7425040000000005,0.16666666666666666,0.5,0.44257217332504445,0.5967568429984215,0.5791923658792039,0.20440485028458305,0.06666666666666667,0.8
a,0.771641,0.899735,0.771641,0.899735,14.166666666666666,14.333333333333334,6,15,1,0,1.2318,w,2022-10-08 16:30:00,1,0,0,3,-0.1280939999999999,0.16666666666666666,0.0,0.09590928123282536,0.17121872749654246,0.3842662632375188,0.3801039346696363,0.3333333333333333,1.0
h,2.49409,0.560039,1.73292,0.560039,12.5,25.071428571428573,8,0,2,0,2.6594,w,2022-10-15 16:30:00,1,0,0,3,1.172881,0.3333333333333333,0.0,0.9126821433702872,0.07997713695720081,0.30862329803328287,0.8584155265669743,0.4666666666666667,0.0
a,0.658526,1.70973,0.658526,1.70973,18.357142857142858,18.41176470588235,7,10,0,2,0.5901000000000001,l,2022-10-19 19:15:00,0,0,1,0,-1.051204,0.0,0.3333333333333333,0.042270966077671814,0.3887815840768791,0.5744542900367409,0.5617712563867417,0.4,0.6666666666666666
h,1.56513,1.1294,1.56513,1.1294,8.5,15.055555555555555,7,11,1,2,1.6868,l,2022-10-23 15:30:00,0,0,1,0,0.4357299999999999,0.16666666666666666,0.3333333333333333,0.47217602794323155,0.23290623600773452,0.12708018154311648,0.41227418955704037,0.4,0.7333333333333333
a,2.1946,0.887533,2.1946,0.887533,18.4,20.5625,10,3,3,2,2.2932,w,2022-10-29 14:00:00,1,0,0,3,1.307067,0.5,0.3333333333333333,0.7706661507449332,0.16794129741858735,0.5763993948562783,0.6575723830734966,0.6,0.2
