date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
2019-08-10 15:00:00,4,6,1,h,0,1,1.34099,1.59864,-0.2576500000000001,13.6,9.133333333333333,1,d,1,0,1.34099,1.59864,1.0172,0.25,0.2,0.4807775845905693,0.4873338020173968,0.209703113685735,0.2737231237598195,0.3,0.3157894736842105
2019-08-17 15:00:00,9,12,0,a,0,1,0.866605,1.65069,-0.784085,10.72,13.0,3,w,2,1,1.62777,1.65069,1.3578,0.5,0.2,0.588571010168884,0.5047754170070659,0.1346270818247647,0.48340536573432275,0.8,0.631578947368421
2019-08-25 14:00:00,3,17,0,h,1,3,1.89345,3.12856,-1.2351099999999997,22.9,5.173913043478261,0,l,1,0,1.89345,3.12856,0.6611,0.25,0.6,0.6884334737564656,1.0,0.4521361332367849,0.059011022907367164,0.2,0.8947368421052632
2019-08-31 15:00:00,7,10,0,a,1,3,0.554726,2.23766,-1.682934,10.0,6.914285714285715,0,l,1,0,0.554726,2.23766,0.2616,0.25,0.6,0.18524062256773655,0.7014652296965193,0.1158580738595221,0.15338824105031398,0.6,0.5263157894736842
2019-09-15 13:00:00,3,9,0,h,0,1,1.41542,1.50641,-0.0909900000000001,12.090909090909092,5.516129032258065,3,w,3,1,1.41542,1.50641,1.2948,0.75,0.2,0.5087539590441363,0.456428131498719,0.17036403133434275,0.0775687683643165,0.2,0.47368421052631576
2019-09-20 19:00:00,2,6,0,a,0,1,1.29773,1.41904,-0.12131,17.9375,4.085714285714285,3,w,3,1,1.29773,2.18021,0.7326999999999999,0.75,0.2,0.4645172331346872,0.6822141099816973,0.3227733526430123,0.0,0.1,0.3157894736842105
2019-09-28 14:00:00,8,17,1,h,0,2,2.31957,1.29546,1.02411,11.25,13.1,1,d,2,0,2.31957,1.29546,2.0753,0.5,0.4,0.8486013184716878,0.3857401645040852,0.1484431571325127,0.4888281823371116,0.7,0.8947368421052632
2019-10-06 14:00:00,7,10,0,a,1,1,0.683967,1.24109,-0.557123,10.217391304347826,7.0285714285714285,0,l,0,0,0.683967,1.24109,0.8124,0.0,0.2,0.23381908032339227,0.36752113266953557,0.12152504486352046,0.15958574573921552,0.6,0.5263157894736842
2019-10-19 15:00:00,7,5,1,h,0,0,0.675554,0.402873,0.272681,12.7,11.833333333333334,1,d,0,0,0.675554,0.402873,1.5813,0.0,0.0,0.23065684415144735,0.08664009152072788,0.18624185372918176,0.4201391720351192,0.6,0.2631578947368421
2019-10-26 15:00:00,3,5,1,a,0,0,0.899526,0.674903,0.224623,9.368421052631579,13.153846153846153,1,d,0,0,0.899526,0.674903,1.4985,0.0,0.0,0.31484231424568787,0.17779556751764775,0.0993940317847479,0.4917481605078441,0.2,0.2631578947368421
2019-11-02 12:30:00,3,4,0,h,0,0,1.86862,0.641129,1.227491,8.25925925925926,8.5,3,w,1,1,1.86862,0.641129,2.382,0.25,0.0,0.6791004981057592,0.16647812074221863,0.07048032826454262,0.23937861860882328,0.2,0.21052631578947367
2019-11-09 15:00:00,10,5,0,a,1,2,1.9213,2.3306,-0.4093,7.823529411764706,18.88235294117647,0,l,1,0,1.9213,2.3306,1.0846,0.25,0.4,0.6989015918342815,0.7326088165772079,0.0591216935724326,0.8023945776630802,0.9,0.2631578947368421
2019-11-23 15:00:00,3,7,0,h,1,2,0.849789,1.2765,-0.4267109999999999,14.043478260869565,13.7,0,l,1,0,0.849789,1.2765,0.9449,0.25,0.4,0.29614742057113375,0.3793867923579925,0.22126373453389164,0.5213650819538449,0.2,0.3684210526315789
2019-11-30 15:00:00,6,9,0,a,1,3,1.02949,2.93189,-1.9024,8.5625,8.88888888888889,0,l,2,0,1.02949,2.93189,0.3314,0.5,0.6,0.3636925296088934,0.9340971677229931,0.07838522809558292,0.2604673498418912,0.5,0.47368421052631576
2019-12-03 19:30:00,10,6,0,a,1,1,0.342799,0.383763,-0.040964,5.619047619047619,20.333333333333332,0,l,0,0,0.342799,0.383763,1.186,0.0,0.2,0.10558256655777945,0.08023645535449205,0.0016551153408503098,0.8810785832721737,0.9,0.3157894736842105
2019-12-07 15:00:00,2,19,0,h,1,3,0.154608,3.04446,-2.889852,43.916666666666664,9.352941176470589,0,l,0,0,0.154608,3.04446,0.0506,0.0,0.6,0.0348462789749333,0.9718186393730803,1.0,0.28563205433849315,0.1,1.0
2019-12-14 15:00:00,3,6,0,a,0,0,1.20777,2.02119,-0.8134199999999998,17.210526315789473,4.533333333333333,3,w,1,1,1.20777,2.02119,0.8432,0.25,0.0,0.4307035203059502,0.628927546760618,0.3038225542131941,0.024273560031531173,0.2,0.3157894736842105
2019-12-21 15:00:00,6,0,0,h,1,1,0.138532,0.144318,-0.005786,5.555555555555555,8.392857142857142,0,l,0,0,0.138532,0.144318,1.1115,0.0,0.2,0.028803712862941578,0.0,0.0,0.23356845796297804,0.5,0.0
2019-12-26 15:00:00,9,13,1,h,0,1,1.55463,1.42464,0.12999,23.8,7.653846153846154,1,d,1,0,1.55463,1.42464,1.4987,0.25,0.2,0.5610795144341817,0.42902753865135607,0.47559739319333827,0.1934932473544559,0.8,0.6842105263157895
2019-12-28 12:30:00,5,11,0,a,1,2,0.500726,1.05876,-0.5580339999999999,17.125,9.375,0,l,0,0,0.500726,1.05876,0.8031999999999999,0.0,0.4,0.1649433738710736,0.30642354071821254,0.30159304851556845,0.28682826388322596,0.4,0.5789473684210527
2020-01-01 17:30:00,4,8,0,a,1,4,0.720709,1.56708,-0.846371,15.933333333333334,22.526315789473685,0,l,0,0,0.720709,2.32825,0.2748,0.0,0.8,0.24762947868659207,0.7318213469282988,0.2705286024619841,1.0,0.3,0.42105263157894735
2020-01-12 14:00:00,5,7,0,h,1,3,0.320447,2.29827,-1.977823,13.066666666666666,11.44,0,l,0,0,0.320447,2.29827,0.1713,0.0,0.6,0.09718100909726445,0.7217752447690234,0.19580014482259234,0.39880942673081626,0.4,0.3684210526315789
2020-01-18 15:00:00,4,6,0,a,1,1,0.558298,0.999292,-0.440994,13.75,9.764705882352942,0,l,0,0,0.558298,1.76046,0.4197,0.0,0.2,0.18658324798152318,0.5415586269478146,0.21361332367849387,0.3079612991735062,0.3,0.3157894736842105
2020-01-21 19:30:00,6,4,0,h,0,1,1.92315,1.97227,-0.04912,11.129032258064516,6.428571428571429,3,w,3,1,1.92315,1.97227,1.3207,0.75,0.2,0.6995969605396302,0.6125347743246025,0.14528976197706198,0.1270488461224823,0.5,0.21052631578947367
2020-02-01 15:00:00,8,7,0,h,0,1,2.72236,1.40955,1.31281,10.0,7.642857142857143,3,w,2,1,2.72236,1.40955,2.2741,0.5,0.2,1.0,0.4239709782249564,0.1158580738595221,0.1928973334420615,0.7,0.3684210526315789
2020-02-09 14:00:00,8,10,0,a,1,2,1.07183,2.04467,-0.97284,10.15,9.368421052631579,0,l,1,0,1.07183,2.04467,0.6331,0.25,0.4,0.37960707608698063,0.6367955413803573,0.11976828385228099,0.28647149963304247,0.7,0.5263157894736842
2020-02-22 15:00:00,5,5,0,a,1,3,1.75718,2.33818,-0.581,11.363636363636363,10.952380952380953,0,l,0,0,1.75718,3.09935,0.5741,0.0,0.6,0.6372129907954608,0.9902119198107928,0.15140543743005727,0.37236674005816955,0.4,0.2631578947368421
2020-02-29 15:00:00,4,14,1,h,0,2,1.58495,1.98271,-0.3977599999999999,17.23076923076923,5.461538461538462,1,d,2,0,1.58495,1.98271,1.0560999999999998,0.5,0.4,0.572476043702382,0.6160331501265649,0.3043502478694369,0.07460842183177666,0.3,0.7368421052631579
2020-03-07 12:30:00,3,9,0,a,1,2,1.29544,1.89453,-0.5990900000000001,20.294117647058822,4.75,0,l,1,0,1.29544,1.89453,0.8778,0.25,0.4,0.4636564794399583,0.5864846081517519,0.3842058184606211,0.036022996004240415,0.2,0.47368421052631576
2020-06-20 18:45:00,6,4,0,h,1,2,0.363637,0.788453,-0.4248159999999999,9.0,9.791666666666666,0,l,0,0,0.363637,0.788453,0.8336,0.0,0.4,0.11341504930483615,0.21584543076600354,0.08979000724112964,0.30942333306151293,0.5,0.21052631578947367
2020-06-24 17:00:00,1,1,0,a,1,1,0.0619009,0.715002,-0.6531011,14.666666666666666,12.0625,0,l,0,0,0.0619009,0.715002,0.5594,0.0,0.2,0.0,0.19123248047577912,0.23750905141202028,0.432566460083177,0.0,0.05263157894736842
2020-07-01 17:00:00,10,9,0,h,1,4,1.27503,2.23457,-0.95954,10.391304347826088,17.88235294117647,0,l,1,0,1.27503,2.23457,0.6983,0.25,0.8,0.45598487118257147,0.7004297908815706,0.1260586216667192,0.7481664116351915,0.9,0.47368421052631576
2020-07-04 14:00:00,1,15,0,a,1,5,0.760443,1.87142,-1.110977,22.933333333333334,9.0,0,l,2,0,1.52161,2.63259,0.6491,0.5,1.0,0.5486681227311482,0.8338036928640506,0.45300506879073144,0.26649270162276767,0.0,0.7894736842105263
2020-07-09 17:00:00,6,5,1,h,0,0,0.960349,0.479274,0.481075,12.285714285714286,6.473684210526316,1,d,0,0,0.960349,0.479274,1.8205,0.0,0.0,0.3377041579026717,0.11224156754043406,0.1754422261301335,0.12949522955231185,0.5,0.2631578947368421
2020-07-12 18:00:00,3,14,0,h,0,1,1.78195,1.66084,0.1211099999999998,18.470588235294116,9.347826086956522,3,w,4,1,2.54311,1.66084,2.0753,1.0,0.2,0.932624410576355,0.5081766157034183,0.33666993227414066,0.2853546724150768,0.2,0.7368421052631579
2020-07-15 17:00:00,11,8,0,a,1,2,1.66635,0.82755,0.8388,27.8125,4.9,0,l,1,0,1.66635,0.82755,2.048,0.25,0.4,0.6030722667377221,0.22894658006957885,0.5801955104996379,0.04415722090842375,1.0,0.42105263157894735
2020-07-19 13:00:00,8,10,0,h,1,2,0.583117,1.48411,-0.900993,6.407407407407407,6.882352941176471,0,l,0,0,0.583117,2.24527,0.2875,0.0,0.4,0.19591208900749496,0.7040152909851145,0.022206130823075074,0.151656585328415,0.7,0.5263157894736842
2020-07-26 15:00:00,7,13,0,a,0,1,0.703516,1.74699,-1.043474,13.5625,5.3478260869565215,3,w,3,1,1.46461,1.74699,1.0957,0.75,0.2,0.5272432491068928,0.5370449179389608,0.2087255611875453,0.06844200830352173,0.6,0.6842105263157895
