name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Shola Shoretire,Man Utd,Chelsea,2023-12-06,True,0,0.83,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Bournemouth,2023-12-09,True,0,0.84,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Liverpool,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,West Ham,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Aston Villa,2023-12-26,True,0,3.62,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Nottingham Forest,2023-12-30,False,0,0.26,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Tottenham,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Wolverhampton,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,West Ham,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Aston Villa,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Luton,2024-02-18,False,0,0.59,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Fulham,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Manchester City,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Everton,2024-03-09,True,0,1.92,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Brentford,2024-03-30,False,0,1.79,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Chelsea,2024-04-04,False,0,0.72,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Liverpool,2024-04-07,True,0,1.74,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Bournemouth,2024-04-13,False,0,0.83,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Sheffield,2024-04-24,True,0,1.21,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Burnley,2024-04-27,True,0,1.82,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Crystal Palace,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Arsenal,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Newcastle United,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,0.0
Shola Shoretire,Man Utd,Brighton,2024-05-19,False,0,0.7,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0,
