name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Moise Kean,Everton,Leicester City,2021-08-21,False,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,Everton,False,Brighton,,
Moise Kean,Everton,Brighton,,False,0,,,,,0,,,0.0,0,0.03,0.5,0.0,0.5,0.0,Everton,True,Burnley,,
Moise Kean,Everton,Burnley,,True,0,,,,,0,,,0.0,0,0.02,0.33,0.0,0.33,0.0,Everton,False,Aston Villa,,
Moise Kean,Everton,Aston Villa,,False,0,,,,,0,,,0.0,0,0.01,0.25,0.0,0.25,0.0,Everton,True,Norwich,,
Moise Kean,Everton,Norwich,,True,0,,,,,0,,,0.0,0,0.01,0.2,0.0,0.2,0.0,Everton,False,Manchester United,,
Moise Kean,Everton,Manchester United,2021-10-02,False,0,0.0,0.4,0.0,0.0,0,1.0,0.0,0.0,0,0.01,0.0,0.08,0.17,0.0,Everton,True,West Ham,,
Moise Kean,Everton,West Ham,2021-10-17,True,0,1.0,1.09,0.0,0.0,0,2.0,0.0,0.0,0,0.01,0.0,0.3,0.14,0.0,Everton,True,Watford,,
Moise Kean,Everton,Watford,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.3,0.12,0.0,Everton,False,Wolverhampton,,
Moise Kean,Everton,Wolverhampton,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.3,0.11,0.0,Everton,True,Tottenham,,
Moise Kean,Everton,Tottenham,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.3,0.1,0.0,Everton,False,Manchester City,,
Moise Kean,Everton,Manchester City,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.22,0.09,0.0,Everton,False,Brentford,,
Moise Kean,Everton,Brentford,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.08,0.0,Everton,True,Liverpool,,
Moise Kean,Everton,Liverpool,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.08,0.0,Everton,True,Arsenal,,
Moise Kean,Everton,Arsenal,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.07,0.0,Everton,False,Crystal Palace,,
Moise Kean,Everton,Crystal Palace,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.07,0.0,Everton,False,Chelsea,,
Moise Kean,Everton,Chelsea,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.06,0.0,Everton,True,Brighton,,
Moise Kean,Everton,Brighton,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.06,0.0,Everton,False,Norwich,,
Moise Kean,Everton,Norwich,2022-01-15,False,0,0.0,0.11,0.0,0.0,0,1.0,0.0,0.0,0,0.01,0.0,0.02,0.06,0.0,Everton,True,Aston Villa,,
Moise Kean,Everton,Aston Villa,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.02,0.05,0.0,Everton,False,Newcastle United,,
Moise Kean,Everton,Newcastle United,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.02,0.05,0.0,Everton,True,Leicester City,,
Moise Kean,Everton,Leicester City,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.02,0.05,0.0,Everton,False,Southampton,,
Moise Kean,Everton,Southampton,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.02,0.05,0.0,Everton,True,Manchester City,,
Moise Kean,Everton,Manchester City,2022-02-26,True,0,1.0,0.55,0.0,0.05,0,2.0,1.0,0.0,0,0.01,0.0,0.11,0.04,0.0,Everton,False,Tottenham,,
Moise Kean,Everton,Tottenham,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.11,0.04,0.0,Everton,True,Wolverhampton,,
Moise Kean,Everton,Wolverhampton,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.11,0.04,0.0,Everton,True,Newcastle United,,
Moise Kean,Everton,Newcastle United,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.11,0.04,0.0,Everton,False,West Ham,,
Moise Kean,Everton,West Ham,2022-04-03,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.01,0.0,0.11,0.04,0.0,Everton,False,Burnley,,
Moise Kean,Everton,Burnley,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.04,0.0,Everton,True,Manchester United,,
Moise Kean,Everton,Manchester United,2022-04-09,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,True,Leeds United,,
Moise Kean,Everton,Leeds United,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,False,Liverpool,,
Moise Kean,Everton,Liverpool,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,True,Chelsea,,
Moise Kean,Everton,Chelsea,2022-05-01,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,False,Leeds United,,
Moise Kean,Everton,Leeds United,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,False,Watford,,
Moise Kean,Everton,Watford,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,True,Brentford,,
Moise Kean,Everton,Brentford,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,True,Crystal Palace,,
Moise Kean,Everton,Crystal Palace,,True,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.03,0.0,Everton,False,Arsenal,,
Moise Kean,Everton,Arsenal,,False,0,,,,,0,,,0.0,0,0.01,0.0,0.0,0.03,,Fulham,True,Liverpool,,
